stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.41,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.62,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,1.06,0,0
 24-34,0,0,0.83,38.36,0,1.46,0,0,0,0,0,0,4.78,69.35,0,0,0,1.06,0,0,17.63,0,0,0,0,2.1,1.67,0,0,166.68,0,0
 36-46,0,0,0,25.75,0,0.59,0,0,0,0,0,0,10.41,147.59,0,0,0,0,0,0,54.87,0,0,0,0,3.63,3.26,0,0,374.45,0,0
 48-58,0,0,0.91,25.74,0,13.91,0,0.47,0,0,0,0,32.96,129.49,0,0,0,1.01,0,0,70.65,0,0,0,0,4.15,8.33,0,0,802.29,0,2.03
 60-70,0,0,0,123.69,0,31.3,0,0.68,0,2.19,0,0,76.49,398.11,0,1.16,0,14.07,0,0,109.14,0,0,0,4.8,5.09,6.91,0,0,903.24,0,6.89
 72-82,0,0,3.79,228.35,0,55.67,0,0,0.58,12.24,0,0,85.57,1874.48,3.28,18.69,0,33.8,0,0.8,113.92,1.04,0,1.4,1.39,1,2.26,1.87,0,1204.39,0,0
 84-94,0,0,8,103.34,0,35.08,0.59,0,0,3.62,0,0,30.45,2014.67,2.01,0,0,27.91,0.55,7.39,50.24,1.53,20.45,0,22.24,1.04,2.6,0,0,1351.07,0.78,1.11
 96-106,0,0,67.3,251.61,5.32,82.49,2.86,7.07,0,2.26,8.63,0,89.25,2694.64,69.95,3.15,37.03,160.97,0,0,266.55,0,1.58,0,18.56,15.4,4.87,0,0.87,1525.83,1.57,0
108-118,0,0,12.98,190.55,0,28.01,0,5.77,2.07,32.01,2.73,0,55.63,2812.47,14.25,0,0.7,65.82,0,0.92,362.66,0.49,3.34,0,9.13,9.73,0.94,0.68,0,1310.18,0.99,0
120,0,0,46.82,258.01,3.73,78.09,0,1.17,1.6,37.19,22.55,0,88.81,4763.18,63.57,0,15.57,64.59,0,22.81,618.01,0,5.21,0,5.62,1.22,12.44,0,0,1848.52,0,0
