stage,axial,epidermis,eye,fin_mesenchyme,lateral_line,mesenchyme,muscle,neural,otic,spinal_cord
  5-6,6.98,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.54,0,0
 14-21,0,0,0,0,0,0,0.88,0,0,0.83
 24-34,0,0,0,0,0,0,0,2.75,2.05,0
 36-46,0,0,0,0,0,0,0,3.33,6.33,0
 48-58,0,0,0,0.66,0.87,0,0,6.47,10.25,1.61
 60-70,0,0.63,0,0,2.72,0,0,6.25,2.57,0
 72-82,0,0,0,0,2.78,0,0,2.85,8.68,0
 84-94,0,0,0,0.89,2.65,0.56,0,0,8.93,0
 96-106,0,0,0,0,5.41,0,0,2.03,11.8,0
108-118,0,0,4.03,0,3.22,0,0,0,8.49,0
120,0,1.96,9.13,0,10.67,3.3,0,0,18.18,0
