stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.19,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.7,0,13.01,18.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.99,5.29,0,0,15.96,0,0,0,5.84,0,0,0,0,0,0
 14-21,0,0,0,0,78.67,1.21,11.64,0.87,0,13.67,1.94,4.04,3.37,0,0,0,0,27.21,0,0,11.12,241.59,2.19,0,0.97,0.87,0,0,3.09,0,0,100.36,0,0,1.09,0
 24-34,0,0,0,4.6,28.6,0.87,13.66,1.46,1.6,24.87,0,0,11.38,0,0,0,0,42.74,0,1.71,9.83,547.94,2.59,1.19,1.28,0,0.99,12.82,0,0.93,4.12,184.58,0,0,13.09,0
 36-46,0,0,0,0,33.84,0,34.9,3.68,3.3,56.76,1.79,0,3.35,0.64,0,0,7.64,44.54,0,0,9.35,336.24,0.9,0,1.38,0,0,4.26,0,3.76,0.83,151.93,0,0,3.43,0
 48-58,0,1.29,0,0,16.25,0.69,35.59,1.03,1.29,77.7,4.49,0,3.32,0,0,0.85,0,46.4,0,0.81,3.44,204.32,6.9,0.69,6.72,0,1.96,11.2,0,0,0,112.48,0,0,2.69,0
 60-70,0,0,0.62,0,9.18,0,9.45,7.97,0.96,58.25,7.42,0,0.7,0,2.48,1.47,0,25.52,0,3.67,7.47,59.42,0,0,1.91,0,0,8.57,0,0,0,51.49,0,2.13,0,0
 72-82,0,0,1,0.56,12.91,0,11.02,5.43,7.99,88.34,0,0,3.44,0,0,0.64,0,59.02,0,6.62,3.22,51.34,0,0,3.2,0,3.2,3.27,0,0,0,19.11,0.62,2.32,0,0
 84-94,0,0,0,0,16.44,0,14.62,2.58,0.92,86.88,0,0,9.51,0,0,0.8,0,36.01,0,9.69,1.74,44.74,0,0,7.14,0,1.75,17.06,0,0,0,21.81,5.14,1.04,0,2.59
 96-106,0,0,0,0,14.91,0,15.25,5.17,1.7,102.25,6.98,0,5.38,0,1.42,1.58,0,28.88,0,5.03,2.32,40.55,0,0.7,5.06,0,0,8.12,0,3.1,0,20.58,0.58,1.87,0,2.86
108-118,0,0,0,0,31.49,0,14.53,10.36,0.84,116.82,5.42,0,0.69,0,0.44,1.77,0,35.79,0,15.74,1.78,67.37,0,0.53,7.85,0,0.87,3.67,0,0,0,6.16,1.02,0,0.52,3.92
120,0,0,0,0,31.44,0,3.12,1.78,0,104.16,2.43,0,0,0,0,0,0,27.77,1.72,14.86,0,57.75,0,0,23.39,0,2.67,0,0,1.97,0,7.06,3.57,0,0,0
