stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,18.39,151.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0
  5-6,11.49,333.98,0,0,0,0,0,0,0,0,0,0,0,0,0,41.85,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,11.92,0,0,0,6.72,0,0,7.85,0,0,0,0,0,0,288.97,10.32,0,0,41.07,0,0,0,0,0,0,0,0,0
 10-12,0,5.59,19.72,0,0,0,0,0,0,0,0,0,0,0,0,241.33,5.46,0,0,47.52,0,0,5.62,0,3.37,0,0,0,0
 14-21,0,0,0,2.93,1.86,4.36,2.96,0,0,0,0,0,6.17,0,3.87,118.19,0.85,0,1.9,5.45,0,3.42,0,7.35,0,10.3,42.88,0.92,0
 24-34,0,0,0,0,0,15.77,0.84,0.59,0,0,0,0,12.61,0,5.88,144.53,0,0,0,0,0.99,2.16,0,0,0,0.86,26.9,0,0
 36-46,0,0,0,15.76,0,15.9,11.13,0,0,0,0,0,6.3,0,1.49,79.83,0,1.47,0,0,0,3.15,0,0,0,0,9.3,0,0
 48-58,0,0,0,6.2,0,16.32,11.27,0.46,0,0,0,0,6.86,0.4,0,22.25,0,0,0,0,0,0.98,0,0,0,0,6.31,0,0
 60-70,0,0,0,14.02,0,6.59,2.76,0.95,0,0,0,0,8.89,0,1.68,25.68,0,0,0,0,0,0,0,0,0.6,0,0,1.49,0
 72-82,0,0,0,0,0,5.9,2.14,0,0,0,0,0,10.8,0,0.64,4.6,0,1.26,0,0,0,0.79,0,0,0,0,3.7,0,0
 84-94,0,0,0,0,0,0,6.12,0,0,5.17,0,0,5.76,1.78,1.33,14.3,0,0,0.92,0,0,0,0,0,0,0,0,0.87,0
 96-106,0,0,0,0,0,3.33,11.66,0.66,0,0.62,0,0,2.73,0,0,9.61,0,0,0,0,0,0,0,0,0,0,0,2.09,0
108-118,0,0,0,2.82,0,6.56,8.07,0.56,0,0,0.54,0.43,1.7,0,0,17.25,0,0,0.75,0,0,5.2,0,0,0,0,0,0.6,1.03
120,0,0,0,1.31,0,5.23,1.26,0,0,0,0,0,6.43,0,3.21,2.81,0,2,0,0,0,0,0,0,0,0,0,0,0
