stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,190.28,2079.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.97,0,0,0,0,0,0,0,0,0,0
  5-6,59.1,1470.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.76,0,6.91,46.64,0,0,0,0,0,0,0,0,0,0
  7-9,32.26,5.14,0,14.17,0,0,11.28,0,0,0,0,16.27,0,0,0,0,0,0,0,0,0,214.61,31.6,227.25,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,13.39,0,73.56,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,457.49,76.25,590.17,7.72,0,0,22.65,0,6.54,23.33,0,0,0,0
 14-21,0,0,0,0,25.53,1.71,1.66,0,0,0,14.77,0,0.84,0,0,0,0,6.34,0,0,9.55,16.64,0.99,0.91,6.2,0,14.65,1.56,1.86,50.7,93.22,0,0.9,0,0
 24-34,0,0,0.65,0.81,10.52,2.97,0,0,0,0,27.43,0,0,0,0.68,0,0,7.38,0,0,32.72,99.84,1.82,0,28.47,0,0,2.1,0.64,0.69,250.98,0,2.34,0,1.55
 36-46,0,0,0,0,0,0,0,0,1.62,0,5.08,0,0,0,3.27,0,1.51,16.76,1.07,0,3.89,135.16,0,0,31.33,0,0,0,0,0,177.89,0,0,0,4.86
 48-58,0,0,0,0,3.67,5.54,25.99,0,1.09,0.46,6.26,0,0,0,0.44,0,0,13.49,0,0,0.97,136.98,3.03,0,7.59,0,0,0,0,0,69.31,0,0,0,0
 60-70,0,0,0,0,11.61,0,14.64,0,4.05,0,2.59,0,0,0,0.63,0,0,3.15,0,0,8.19,59.51,0,0,15.54,0,0,0,0,0,30.21,0,0,0,0
 72-82,0,0,0,0,6.72,2.68,4.15,0.65,1.19,1.05,1.17,0,0.57,0.93,0,0,0,9.67,0,0,1.79,48.67,0,0,8.38,0,0,0,0,0,9.44,0,0,0,1.59
 84-94,0,0,0,0,4.11,7.73,7.23,0,0.59,0,13.86,0,0,0,0,0,0,3.39,0,0,0,14.59,0,0,16,0,0,0.7,0,0,0.63,0,1.8,0,0.64
 96-106,0,0,0,0,1.55,19.85,5.64,0,0,0,2.73,0,3.11,0,0,2.16,0,4.28,0,0,0,16.08,0,0,14,0,0,0,0,0,3.11,2.7,0,2.74,0
108-118,0,0,0,0,8.96,10.27,0,0,2.55,0,6.23,0,2.03,0.86,0,0,0,9.06,0,1.84,1.13,29.55,0,0,9.13,0,0,0,0,0,3.2,0,2.7,0,0
120,0,0,0,0,10.67,36.76,3.29,0,0,0,17.35,0,2.06,0,0,0,0,6.4,7.47,0,3.33,32.24,0,0,21.7,0,0,0,0,0,0,0,0,0,0
