stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,67.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,7.73,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.93,0,0,0,0,0,0,0,0,0,27.42,0,0,0,0,0,0,0,0,0,0,73.95,15.01,0,0,9.65,0,0,3.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.34,0.89,0,0,0,0,0,0.84,4.07,0,0,2,0,0,12.96,0,7.59,1.78,0,10.97,29.49,0,0,3.23,0,0,0,0,6.98,3.69,7.59,78.25,23.91,0,0,0.81,0,0
 24-34,0,0,0,2.08,0,0,3.95,0,0,0,12.38,0,0,0,57.94,0,0,19.14,0,1.87,5.91,1.52,1.29,76.87,0,2.36,5.76,0,0,0.59,0,0,0.98,2.3,4.91,40.43,0,0,1.77,0,0
 36-46,0,0,0,0,0,0,18.03,0,0.62,5.56,2.69,0,0,0,30.26,0,3.34,5.79,0,5.58,8.19,0,0,161.95,0,4.78,22.86,0,0,0,0,0,0,5.21,0,63.63,0,0,0.56,0,0
 48-58,0,0,0,3.95,0,0,79.87,0,0,0.75,4.94,1.33,0,0,50.19,0,2.44,9.84,1.33,9,4.38,0.69,8.83,138.6,0,9.02,3.29,0,0.9,4.53,0,0,0,0.89,0,44.24,0,0,1.39,0,0
 60-70,0,3.16,0,5.04,0,0,334.53,0.62,0.61,1.48,22.8,11.25,0,0,25.42,0,6.34,10.29,0,24.67,8.44,0.84,0,241.52,0,9.41,0.6,0,0,3.41,0,0,2.54,0,0,60.88,1.62,0,2.47,0,0
 72-82,0,1.92,0,3.31,0,0,336.61,0,0,0,33.01,29.29,0.91,0.94,72.06,3.21,5.8,1.36,0,26.5,10.83,2.11,0.69,377.22,0,10.79,20.11,0,1.61,11.51,0,0,0,0,0,51.19,0.62,0,2.74,1.62,5.15
 84-94,0,2.52,0,5.73,0,0.76,308.53,0,0,0,30.61,57.66,0,1.58,55.16,0,6.16,5.36,0,15.25,17.1,4.69,0,291.34,0,4.82,12.07,0,0,35.55,0,0,1.09,0,0,30.93,3.05,0,3.49,3.82,0
 96-106,0,3.02,0,13.64,7.06,1.2,377.95,0,0.57,2.01,37.27,94.01,0,1.79,113.27,0.75,36.25,11.62,0,27.42,34.89,0.7,2.37,297.04,0,15.96,19.03,0,0,26.08,0,0,1.6,0,0,23.36,0,0,18.07,1.24,1.91
108-118,0,5.69,0,16.54,1.76,42.47,413.45,0,0.6,0,34.94,159.89,0,0.64,107.18,0.43,22.42,3.41,0,20.33,28.19,2.5,5.64,359.75,0,12.9,29.66,0,0,24.96,0,0,1.35,0,0,27.33,0.55,0.5,13.82,4.15,2.03
120,0,5.13,9.24,13.15,0,21.98,543.22,0,1.03,5.27,54.27,206.79,0,2.52,91.88,0,19.75,23.83,0,34.8,1.56,0,3.83,830.33,0,20.69,24.98,0,0,19.3,0,0,6.03,0,0,68.73,0,0,19.96,17.6,0
