stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.9,150.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,113.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.53,7.42,0,10.47,0,0,0,41.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.6,10.59,0,0,63.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.02,0,0,0,22.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.83,9.3,0,0,71.4,0,0,0,4.64,0,0,0,0,0,0,0
 14-21,0,0,0,1.85,19.36,1.98,0,4.08,0,0,0,1.89,3.12,2.74,0,1.26,0,0,0,0,12.88,0,0,9.99,66.56,3.67,0,3.68,1.56,0,0,2.75,1.08,2.04,18.61,0,0,0,0,0
 24-34,0,0,0,0,8.34,0,0,13.86,0,1.26,0,12.15,0,0,0,0,0,0,0,0,24.99,0,0,12.43,144.01,0.62,0,2.82,0,0,3.77,0,0,0.73,41.88,0,0,21.63,0,0
 36-46,0,0,0,0,35.11,0,0,5.53,0,1.75,1.09,11.63,0,0.75,0,0,0,0.65,0,0,30,0,0.8,15.23,100.65,1.71,2.23,2.09,0,0,15.36,0,0,0,40.82,0,0,6.31,0,0
 48-58,0,0,0,0,4.89,0,0,14.69,0,0.44,0.45,11,0,0,0,0,0,0,1.48,0,72.17,0,9.27,9.29,83.17,13.85,0.6,0.91,0,0,0,0,0,0,23.31,0,0,18.8,0,2.55
 60-70,0,0,0,0,13.5,5.79,0,18.76,0,2.76,5.03,21.48,0.62,0.87,1.47,0,0,0,0,0,144.8,0,0,6.65,48.48,0,1.95,0.87,0,0,2.78,0,0,0,13.5,0,0,3.91,1.79,11.77
 72-82,0,0,0,0,5.11,0,0,11.34,0,5.1,8.93,20.6,0.58,0.66,0,0,0,1.98,0,0,295.07,1.07,5.79,15.02,71.22,0,1.55,4.2,0,0.89,0,0,0,0,31.75,0.53,4.87,22.32,2.52,4.5
 84-94,0,0,0,0,17.89,0,0,37.85,0,1.53,6.54,17.81,2.85,4.53,0,0,0.7,0,0,2.36,264.4,0,4.72,7.12,52.2,3.56,1.86,1.94,0,0,1.33,0,0,0,29.29,1.13,15.43,6.3,2.67,0.82
 96-106,0,0,0,0,8.42,0,0,21.67,0.89,2.67,3.07,43.5,1.44,1.68,0,0,0.87,0.57,0,0,216.01,0,1.11,4.92,67.05,0.7,0.59,6.66,0,5.45,0,0,3.26,0,12.65,0,5.86,33.16,7.24,12.44
108-118,0,0,0.54,0,32.75,3.61,0.56,16.04,0,7.84,1.83,29.69,1.46,1.34,0.45,0.91,1.84,1.79,0,1.8,245.62,0,2.93,12.95,71.72,2.51,0.43,4.94,0,4.55,3.29,0,1.06,0,12.44,0,0,16.65,0.55,13.46
120,0,0,0,0,57.79,0,0,16.08,0,13.12,5.55,96.17,11.2,4.91,2.4,1.65,5.27,0,0,0,298.61,1.1,0,13.71,122.39,2.28,3.22,2.51,0,12.29,14.06,0,0,0,31.88,0,5.4,13.11,3.79,3.58
