stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0
  5-6,7.8,69.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,21.09,0,0,0,0,0,0
 14-21,0,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,0,11.43,0,0.81,0,0.97,0,2.98,0,0,0
 24-34,0,0,0,0.74,0,1.68,0,0,0,0,0,0,0,1.41,0,0.64,16.78,0,0,0,2.39,0,5.13,0,0,0
 36-46,0,0,0,0,0,6.04,0,1.25,0.67,0,0,0,0,6.37,0,0,15.13,1.21,0,0,2.53,0,3.87,0,1.94,0
 48-58,0,0,0,0,0,5.85,0,1.22,0,0,0,0,5.11,0.88,0,0,10.86,0,0,0,0,0,1.53,0,0,0
 60-70,0,0,0,0,0,11.75,0,0.72,0,0,0,0,0,1.64,0.88,0.71,26.56,0,0,0,0.64,0,0,0,0,14.69
 72-82,0,0,0,0,0.51,2.25,0.77,4.28,0,0.87,0,0,0,5.07,0,1.3,19.6,0,0,0,0,0,3.39,0,0,0
 84-94,0,0,0,0,0.66,13.86,0,10.86,0,0,0,0.66,0,7.07,0.65,0.77,9.13,3.65,0.73,0,0,0,3.6,0,0,0
 96-106,0,0,0,0,0.6,1.82,0,18.45,0,0,0,0,2.51,3.37,0,0,19.29,0.93,1,0,0,0,4.62,0,0,0
108-118,0,0,0.98,0,0.48,5.13,0,17.24,0,0,0.49,0,0,1.07,0,0,20.5,0,0.86,0,0,0.41,1.77,0.66,0,0
120,0,0,0,0,1.6,1.81,0,18.29,0,0,0,0,0,0,0,0,15.55,0,0,0,0,0,0,0,0,0
