stage,axial,blastomeres,endoderm,eye,fin_mesenchyme,hatching_gland,heart,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,vasculature
  3-4,208.22,4638.5,0,0,0,0,0,0,0,0,0,0,83.19,0,0,0,0,0
  5-6,121.61,2042.4,0,0,0,32.01,0,0,0,186.52,0,37.3,85.62,0,0,0,0,0
  7-9,26.52,7.41,11.89,21.95,0,19.89,0,0,0,251.77,7.3,75.79,0,5.5,0,0,0,0
 10-12,0,0,0,6.03,0,0,0,0,0,53.72,0,8.6,0,0,6.14,0,3.24,0
 24-34,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0.61
 36-46,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.63,0.37,1.52,1.01,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,11.31,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.56,0,0,0,0,0,1.1,0,0,1.41,0,0,0,0,0
 84-94,0,0,0,0,1.02,0,0,0,0.75,0,0,0,0,0,0,0.61,0,0
 96-106,0,0,0,0,0,0,0,0,6.03,5.71,0,0,2.01,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.49,1.06,0,0,0,0,0,0,0,0
