stage,epidermis,eye,glial,mesenchyme,neural,pronephros,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 24-34,0,0,0,0,0,1.77,0,0,0
 36-46,0,0,0,0,0.99,0,0,0,0
 48-58,0,0,0,0.43,0,0,0,0,0
 60-70,0,1.83,0,0,0,0,0,0,0
 72-82,0,0.69,0,8.75,0,0,0,0.59,0
 84-94,0.97,0,0,6.7,6.72,0,4.73,0,0
 96-106,0,0.57,0.87,4.28,0,0,1.32,0,0
108-118,0,0,0,3.7,0,0,0,0,0
120,0,0,0,6.13,2.8,0,0,0,7.76
