stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.27,21.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.41,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,8.38,292.92,6.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.92,0,0,0,62.43,149.45,0,0,0,0,0,0,0,0,0
 14-21,0,0,25.47,68.4,1.16,2.14,0,0,0,5.14,1.14,0,0,0,1.74,0,0,0,0,1.93,7.25,0,0,23.16,0,0,0,0.86,1218.24,0,3.01,0,5,7.65,0,0,4.71,0
 24-34,0,0,17.56,42.44,1.24,4.46,0,2.5,0,2.47,0.85,0,0,6.32,1.25,0,4.02,0,0,3.78,6.29,0,2.51,107.67,0,7.78,2.52,0,1341.79,0,0,7.17,0,5.74,0,0,8.26,2.72
 36-46,0,0,0.56,36.16,0,3.98,3.36,10.02,0,0,0.88,0,0.95,0,9.57,0,3.1,0,2.25,1.48,10.22,0,1.74,40.78,0,0,0,0,1293.12,0,0,8.21,0,4.76,0,0,0,0
 48-58,0,0,0,67.96,0,6.93,0,0.47,4.99,1.55,0,0,0,0,0.66,0,1.73,0,0,3.83,0.57,0,0,20.84,0.99,0,0,0,314.91,0,0,0,0,5.83,0,0,0.41,0.55
 60-70,0,0,0,108.59,0,19.34,0,14.4,0.93,3.76,2.58,0,0,0,0,0,8.35,2.6,0.86,7.25,0.73,0,0.84,75.73,0,0,9.76,0,267.54,0,0,0,0,3.42,0,0.82,2.13,0
 72-82,0,0,1.74,79.15,0,6.05,0,0,0,1.05,0,0,0,0,1.16,0,2.34,0,1.45,8.72,0.69,0,0,19.14,0,6.1,9.98,0,53.24,0,0,0,0,0,9.84,0,0,0
 84-94,0,0,0,264.37,0,10.97,0,4.33,0,5.23,4.11,0,0,0,14.1,0,9.07,0.57,0,3.07,2.46,2.76,0,10.14,0,0,0.63,0,139.4,0,0,0,0,0,20.54,0,0,0
 96-106,0,0,2.15,216.57,15.19,22.36,0,8.06,0,7.55,29.44,0,0,0,19.55,2.23,17.53,3.22,0,2.1,0.97,0,0,35.31,0,2,0,0,177.81,0,0,0,0,0,6.65,0,0,0
108-118,0,0,4.88,238.32,0,9.27,0,5.73,0,0,33.04,0,0,0,17.87,0,17.72,4.12,0.53,2.92,6.36,0,1.14,26.94,0,0,0,0,166.33,0,0,1.05,0,3.12,6.65,0,0.49,3.59
120,0,0,7.34,123.3,0,5.38,2.29,2.57,0,5.01,13.41,0,0,0,6.9,0,5.49,0,0,0,0,0,1.99,32.71,0,0,0,0,112.69,0,0,0,0,0,0,0,0,0
