stage,endoderm,epidermis,eye,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,periderm,pronephros
  3-4,0,0,0,0,0,0,0,0,0,0,0,11.85,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,109.66,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.33,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.22,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,5.9
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.58,3.17
 48-58,0,0,0,0,0.43,0,0,0,0,0,0,1.84,2.58
 60-70,0,0,0,1.52,2.73,0,0,0,1.01,0,1.96,4.44,4.8
 72-82,0,0,0,0,19.22,0,0,1.02,0,0.58,7.44,0,1.57
 84-94,0.79,0,11.36,0,35.76,0,1.15,1.22,0,0,0,11.12,13.13
 96-106,2.35,5,6.98,0,44.76,0.67,0,1.27,0,0,8.52,3.93,9.9
108-118,0.7,0,7.37,2.78,42.29,0,7.01,3.56,0,0,9.81,2.12,13.33
120,0,0,1.31,0,42.72,0,3.49,0,0,0,19.46,0,9.45
