stage,blastomeres,epidermis,eye,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,14.87,0,12.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,5.05,0,6.57,0,1.07,0,0,0,0,0,0,0
 36-46,0,0,0.69,0,0,0,0,24.91,0.89,3.61,0,0,0,0,0,0,0,0,0
 48-58,0,0,5.93,0,0,0.59,0,17.52,4.92,4.45,1.62,0,0,0,0,0,0,0,1.13
 60-70,0,0,17.6,37.23,0,0,0,14.28,1.31,6.47,4.44,0,0,4.74,0.68,8.88,3.58,0,0.89
 72-82,0,0,8.67,85.41,0,0,0,16.47,1.41,6.84,20.94,0,0,9.17,0,0,0.88,2.46,1.98
 84-94,0,0,14.93,76.99,0,0,0,12.62,8.61,3.92,0.57,0,0,6.64,0,0,0,4.96,0
 96-106,0,2.48,3.98,135.45,0,0,0.66,22.52,1.78,7.86,14.47,0,0,24.14,0,0,0,8.24,0
108-118,0,0,33.01,143.09,0,0,0,15.9,1.44,2.42,5.97,0,0,30.33,0,0,0,6.13,0
120,0,0,24.28,336.95,1.33,0,0,22.8,0,4.58,11.97,0,10.96,82.85,3.84,0,0,5.55,0
