stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,128.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0
  5-6,22.05,50.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,25.59,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2,0,0,0,4.43,0,0,0,0,0,0,0,0
 14-21,0,0,23.4,69.28,19.57,639.13,0,0,0,21.06,2.36,0,0,0,0,0,1.19,1492.91,459.33,0,0,4.08,4118.65,35.18,1.2,13.25,38.6,7.93,15.52,58.96,0,52.14,2124.87,0,461.69
 24-34,0,0,0,51.36,0,353.12,0,0.62,1.45,9.31,0,0,0,0.62,182.1,0,0,1628.06,331.03,0,0,6.57,1481.38,2.12,0,3.45,0,16.75,0,7.79,11.52,2.69,329.54,16.65,1097.59
 36-46,0,0,0,1.51,0,14.63,3.21,0,0,4.01,1.45,0,0,1.86,159.26,0,0,542.5,91.33,0,0,2.51,565.11,8.51,0,0,0,3.77,0,0.92,0,1.34,22.05,5.64,351.17
 48-58,0,0,0,4.26,0,16.09,0,0,0,6.7,0,0,0.42,2.57,441.17,0,0,186.6,70.81,0,0,9.94,287.53,0.65,0,0.41,0,0,0,1.43,0,0,11.17,0,68.1
 60-70,0,0,0,6.41,0,8.16,0,0,0,1.41,0,0,0,7.98,118.46,0,0,20.84,9.66,0,0,0,54.54,0,0,0,0,0,0,0,0,0,8.42,0,2.82
 72-82,0,0,0,0,0,3.18,0,0,0,0,0,0,0,3.82,59.38,0,3.31,14.35,13.36,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,3.79
 84-94,0,0,0.72,0,0,3.24,0,0,0,0.83,0,0,0,0.55,113.83,0,0.7,21.18,10.1,1.18,0,0,20.69,0,0,0,0,0,0,1.29,0,0,1.03,0,0
 96-106,0,0,0,0,0,5.44,0,0,0,0,1.4,0,0,14.9,57.34,0.59,1.25,6.63,8.92,0,0,0,18.24,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,3.6,0,0,0,0,0,0,0,13.18,22.32,0,1.05,10.97,4.01,1.71,2.1,0,5.84,0,0,1.65,0,0,0,0,0,0,0,4.59,0
120,0,0,0,0,0,0,0,0,0,4.42,0,0,0,23.23,24.95,0,6.57,0,1.13,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,3.85
