stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,17.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.59,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.87,0,0,0,40.83,0,0,0,0,0,0,0,0,0,0,0,50.59,3.71,0,0,3.62,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,1.1,0,0,0,0,0,0,0,0,0,0.9,0,0,0.95,74.96,0,0,0,0,0,0,0,0,7.12,0,0,0,0,0
 24-34,0,0.71,0,2.78,0,0,6.58,0.83,1.05,1.02,0,0,0.63,0.62,2.73,0,0,1.74,371.62,0.73,3.58,0,0,0,0,0,0,33.13,0,0,0.89,0,0
 36-46,0,0,0,0,0,0,15.18,0,7.82,0,0,0,0,0,6.72,0,0,2.51,905.24,0.66,5.69,0,0,0,0,0,0,105.44,0,0,2.89,0,0
 48-58,0,0,0,1.99,0,0,125.35,0,25.81,0,0,0,0,2.21,15.02,0,0,0,1273.68,0,8.16,0,0,0,2.18,0.56,0,174.16,0,0.42,6.23,0,0
 60-70,0,0,0,0,0,0,446.48,0,22.6,0,0,0,0,0,5.49,1.02,2.37,0,1569.45,0,3.03,0,0,0,0,0,0,150.56,0,0,2,0,1.98
 72-82,0,0,0,7.91,0,0,469.61,2.27,23.86,0,0,0.62,0,0,20.15,0,0,2.6,1476.46,0,7.45,0,0,0,0,0,0,98.02,0,0.5,13.67,1.05,0
 84-94,0,1.05,0,2.14,1.3,0,355.61,2.61,31.69,0.85,0,4.06,0,0,13.35,1.19,3.22,1.55,1050.36,0,8.6,1.27,0,0,4.32,0,0,109.01,0,0,1.14,0.91,0
 96-106,0,0,0,1.74,0,0.66,402.3,0,18.24,0,0.66,2.13,0,0,21.3,0,0,0,847.35,0,7.73,2.77,0,0,1.38,0,0,39.57,0,2.88,35.49,0.61,0
108-118,0,0,0,2.86,0.85,0.82,448.1,0,11.79,0,0,0,0,0,17.06,0,0,0,956.73,0,10.26,0,0,2.53,0.91,0,0,27.72,1.18,0,7.49,1.16,0
120,0,0,0,11.17,0,0,309.94,0,13.94,0,0,0,0,0,1.34,1.49,0,0,1249.03,0,18.79,0,0,0,0,0,1.13,41.26,0,0,29.08,14.75,0
