stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,2.18,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,2.19,0,0
 24-34,1.41,0,0,0,0,0,0,0,0,0,0,0,23.37,0,0,3.94,0,0
 36-46,0,0,0,0,3.24,0,0,0,0,0.66,0,0,50.81,0,0,10.3,0,0
 48-58,0,0,0,0,29.43,0,0.94,0,0,0.65,0,0.63,57.04,0,0,17.38,0,0
 60-70,0,0,8.58,0,124.64,0,2.04,0,0,0,0,0.93,54.75,0.7,0,9.57,0,0.66
 72-82,0.53,0,0,0,183.84,0,7.96,0.54,0,3.82,0,0,134.72,0,0,17.81,0.63,0
 84-94,0,0,0,0,175.23,2.05,11.16,0,0,0.75,0,0,92.06,0.89,2.84,11.38,0,0
 96-106,0,0,1.46,0,162.34,0,7.84,3.91,0,1.24,0,0,45.5,0,0,0,0,0
108-118,0,0.74,0,0.69,161.73,1.27,11.07,1.02,0.45,0,2.81,0,96.03,0,0,3.84,0,0
120,0,0,0,0,80.42,0,5.01,1.66,1.02,9.88,3.7,0,92.71,0,70.78,0,0,1.54
