stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,gut,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal_cord
  5-6,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.24,3.91,0,0,0
 14-21,0,8.08,0,0,0,0,0,0,0,0,0,0,0,1.46,0
 24-34,0,1.74,0,0,0,0,0,0,0,0,0,0,0,6.47,0
 36-46,0,5.03,0,0,5.93,0,0,0,0,0,8.23,0,0,7,1.71
 48-58,0,6.85,0,0.56,0,0,0.49,0,0,0,1.28,0,0,6.18,1.51
 60-70,0,5.9,0,1.77,1.88,0,1.74,0,0,0,0,0,0,5.78,0
 72-82,0,6.82,0,0,1.19,0,0,0,0,0.56,3.79,0,0,2.59,0
 84-94,0,20.53,0,0,3.4,3.33,0,0,4.49,0,0,0,0.71,47.2,0
 96-106,0,16.19,1.2,0,2.36,0,0,4.68,0,0,3.89,0,0,34.25,0
108-118,0,10.03,0,1.78,9.23,1.07,0,0,2.25,0,0,0,0,16.87,0
120,0,35,0,0,5.35,0,1.25,13.76,0,0,0,0,0,16.66,0
