stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.94,0,0,0,0,0,0,0,0,0
  5-6,16.28,98.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.16,0,0,0,0,0,0,0,0,0
  7-9,3.32,9.23,0,13.97,0,0,0,12.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.75,0,0,0,32.73,32.74,3.79,0,0,0,0,0,0,0,0
 10-12,0,5.81,0,5.59,0,6.65,0,26.57,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,174.36,7.09,0,0,33.48,7.82,0,0,7.48,0,0,0,0,0,0
 14-21,0,0,0,2.23,14.96,5.56,0,3.45,0,0,1.29,4.38,0,1.15,0,28.86,0,0,5.69,7.22,0,0.9,154.81,0.89,0,0,0,31,0,8.56,3.52,35.62,0,0,4.12,0,0
 24-34,0,0,0.81,0.64,1.29,0,0,10.72,0,0,4.81,0,0,0,0,22.01,0,0,0,19.2,0,4.27,260.31,0,0,2.46,0,17.17,0,0,0,63.51,0,0,46.22,0,0
 36-46,0,0,0,0,1.62,0,0,10.76,0,0,11.58,0,0,0,1.92,6.64,0,0,0,16.25,0.57,1.97,99.35,0,0,1.46,0,1.09,0,0,0,39.88,0,0,37.7,0,0
 48-58,0,0,0,0,0.59,0,0,13.31,0,0.39,23.1,0,0,0.4,0,14.63,3.67,0.5,0,16.48,0,3.23,83.4,0,1.36,0.48,0,0,0,0,0,34.88,0,0,21.07,0,1.67
 60-70,0,0,0,0,0,0,0,69.01,0.82,0,18.29,0,0,0,0,4.88,5.41,0,0,20.72,1.28,0,61.64,0,0,0,0,0,0,0,0,10.04,0,0.9,9.51,0,0
 72-82,0,0,0,0,5.89,1.45,0,217.39,0,0.89,37.68,1.13,0,0,1.57,12.44,5.9,2.34,0,33.83,0,0.59,19.47,0,0.74,0.62,0,0,0,0,0,6.68,5.08,0,39.12,1.33,0
 84-94,0,0,0,0,0,0,0,238.95,0,0,15.75,1.92,0,0,0,21.44,5.24,0,0,5.79,0,3.5,36,0,3.34,1.12,0,0.92,0,0,0,0.98,7.66,0,38.87,0,5.51
 96-106,0,0,0,0,1.9,0,0,252.69,0,4.2,8.88,3.22,0,0,1.31,14.23,11.05,1.1,0,20.58,0,0,29.83,0,2.83,0,0,0,0,0,0,2.54,7.64,0,34.61,0.65,0
108-118,0,0,0,0,3.46,7.43,0.74,226.52,0,0,6.47,1.62,0,0,0.89,27.35,26.37,0.95,4.29,12.56,0,0.54,36.57,0,0.89,6.45,0,2.88,0,0,0,0,21.96,0,34.45,0,0
120,0,0,0,0,1.84,3.18,0,252.32,0,0,8.87,4.05,0,0,1.23,3.81,18.71,0,0,42.74,0,0,95.22,0,0,0,0,0,0,0,0,0,0,0,22.62,8.46,0
