stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,224.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0
  5-6,7.56,130.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,9.84,0,6.9,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,113.66,0,0,0,59.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.47,0,0,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7,0,0,0,15.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.41,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0.8,18.93,0,0,0.85,0,0,0,1.28,0,4.21,6.07,0,0,0,0,0
 24-34,0,0,0,0.77,0.71,0,1.47,0,0,0.74,1.93,0,0,0.65,0.7,0,2.04,0.7,0,1.35,37.8,0.83,0,0.62,0,0,4.92,0,0,0,14.3,0,0,0,0,0
 36-46,0,0,0,0,2.69,0,13.26,0.85,0,0,1.65,0,0,0,0,0,6.02,0,0,1.74,44.2,0,0,0.57,0,0,6.76,0,0,0,12.39,0,0,1.78,0,0
 48-58,0,0,0,0,6.12,2.56,13.35,0,0,1.05,14.58,0,0,0,0,0,7.02,0,0,4.58,79.02,0,0,1.73,0,0,0.39,0,3.2,0,8.03,0,0,0,0,0
 60-70,0,0,0,0,8.96,0,25.72,0,2.35,6.36,1.25,0,0.92,0,0,0,14.87,0,0,0,57.45,0,0,0.57,0,0,3.31,0,0,0,10.36,0,0,0,0,0
 72-82,0,0,0,0,2.4,0,8.9,0,0,0,7.34,0,0,1.5,0,0,15.47,0,0,2.27,31.84,0,1.13,0,0,1.77,0,0,0,0,5.81,0,0.83,0,0.52,0.55
 84-94,0,0,1.43,0,6.87,0,4.66,0.69,0,0,4.59,1.31,0,0.57,0,0,12.69,0,3.17,1.26,16.72,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0
 96-106,0,0,0,0,0.65,0,6.35,0,0,0,2.37,0,0,0,0,0.91,7.32,0,0,0.69,42.82,0,0,0,0,0,4.27,0,0,0,2.98,1.26,2.52,0,0,0
108-118,0,0,0,0,1.68,0,5.02,0,0,0.73,1.65,0,0,0,0,0,6.18,0,0,2.19,22.61,0,0,1.02,0,0,1.95,0,0,0,4.09,0,0,0.66,0,0
120,0,0,0,0,7.05,0,24.04,0,0,0,8.87,0,0,0,0,0,7.62,0,0,0,19.65,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0
