stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,50.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.72,0,0,0,0,0,0,0,0,0
  5-6,0,87.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,0,9.45,0,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.72,0,0,0,34.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,26.86,0,0,3.97,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,137.24,10.57,0,0,38.53,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,3.72,0,0.9,0,0,0,82.15,0,0,0,0,0,0,0,5.48,0,0,0,63.8,13.14,0,37.37,6.94,3.96,0,63.08,0,3.52,224.55,0,0,0,0
 24-34,0,0,0,0,4.99,0,2.06,0,0,0.99,97.76,0,0,0,7.67,4.11,0,4.51,4.66,2.71,0,0.61,87.48,1.35,7.44,66.67,0,65.26,0,158.51,0,2.12,230.83,0,0,4.35,0
 36-46,0,0,0,0,0.68,0,8.74,0,8.76,0,87.31,0,0,0,7.04,3.52,0,0,2.43,0,0,0.73,74.49,0,31.66,48.66,0,150.24,0,112.91,0,0,185.91,0,0,0.88,0
 48-58,0,0,0,0,0,0,43.41,0,3.6,0.55,85.93,0,0,0,0.4,24.33,1.73,0,2.61,0,0,5.05,51.04,0,40.33,53.38,0,111.42,0,80.51,0,0,153.49,0,0,0,0
 60-70,0,0,0.89,0,6.54,0,81.09,0,0,0,206.22,0,0,0,11.18,78.28,0,0,7.49,0.73,0,0,56.57,2.95,44.4,173.5,0,195.49,0,40.78,0,0,139.49,3.21,0,0,0
 72-82,0,0,2.95,0,6.13,3.07,69.35,0,2.41,0,105.95,1.6,0,0,2.32,181.01,0,0,8.23,1.25,0.51,0,53.68,0,72,298.64,0,61.14,0,17.31,0,0,49.59,0,0,3.65,0
 84-94,0,0,11.8,2.75,5.63,3.69,42.22,0,3.05,0,96.99,0,0,0,13.64,179.98,0,0,10.45,0,0,0,47.2,0,121.29,546.19,0,195.23,1.4,25.01,0,0,70.24,0,0,7.47,0.57
 96-106,0,0,0,5.78,21.55,7.13,63.06,0,0.96,0,93.5,8.96,0,1.12,17.71,399.82,0,0,10.65,7.63,0,0,47.26,0,158.36,712.15,0,99.31,0,31.31,0.6,0,49.62,0,0,0.78,3.11
108-118,0,0,2.14,4.73,35.29,1.72,52.4,0.56,2.48,0,51.61,4.37,0,0,20.06,298.84,8.75,0.72,21.04,2.75,0,3.67,48.77,0,125.08,649.42,0,120.94,0,25.26,0,0,41.24,0.5,1.46,2.11,0
120,0,0,3.73,0,67.81,12.11,92.57,0,2.78,0,83.45,5.79,0,1.16,32.27,535.41,0,0,5.85,0,0,5.3,107.23,6.38,277.5,1802.96,0,110.27,0,118.47,0,0,29.41,0,4.55,8.86,3.69
