stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,7.04,0
 24-34,0,0,2.18,0,0.97,0,0,0,2.49,1.64,7.52,0,165.38,1.03
 36-46,0,0,0,0,0,0,0,0,1.3,0,3.59,0,204.14,1
 48-58,0,0,1.05,0.43,0,0,0,2.41,0,0,7.32,0,116.43,1.51
 60-70,0,2.08,1.98,0,0,0.99,0,2.61,0,0,0,1.12,68.06,1.04
 72-82,0,0,4.85,2.01,0,0,0,0,0,0,1.54,0,9.49,0
 84-94,0,0,0,0,0.62,0.99,0,0,1.21,1.01,0,0,48.54,0
 96-106,0,0,0.63,1.87,0.57,0,0,0,0,0,0,0,17.74,0
108-118,0,0,0,0,0,0,0.94,0,0,0,0,0,5.36,0
120,0,0,0,12.64,0,0,0,0,0,0,0,0,8.64,0
