stage,blastomeres,eye,glial,mesenchyme,neural,periderm
  3-4,17.17,0,0,0,0,10.65
  5-6,14.06,0,0,0,0,0
  7-9,0,0,0,0,12.24,0
 14-21,0,0,0,1.34,0,0
 36-46,0,0,1.31,1.45,4.31,0
 48-58,0,0.44,0,0,13.26,0
 60-70,0,3.4,0.84,0,9.8,0
 72-82,0,2.12,0.53,0.52,3.12,0
 84-94,0,0,0,0,5.88,0
108-118,0,0,0.81,0,1.38,0
120,0,0,0,2.38,0,0
