stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,81.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19,0,0,0,10.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,21.22,0,0,0,0,0,0,0,0,0,0,0,0,0,66.51,0,0,0,11.7,0,0,9.11,0,0,0,0,0,0
 14-21,0,1.23,2.29,0,0,2.6,0,0,0,1.08,0,0,0,0,1.24,0,0,0,0,15.34,0,0,0,0,0.97,0,0,14.16,0,0,0,0,0
 24-34,0,0.66,0,0,0,2.09,0,0,0,0,0,0,0,0,5.65,3.06,0,0,5.04,156.91,0,5.12,0,0,0.81,0,0,49.08,0,0,0,0,0
 36-46,0,0,0,0,0,7.44,0,0,13.53,0,0,0,0,0,8.78,13.34,0,0,1.85,457.26,0,10.37,0,0,0.78,0.73,0,109.85,0,0,0,0,1.9
 48-58,0,0,0,0,0,58.52,4.28,0,60.63,0,0,6.77,0.46,0,31.02,20.75,0,0,5.96,767.01,0,2.2,0,0,5.39,0,0,138.74,0,0,0,0,22.26
 60-70,0,0.86,1.48,0,0,224.43,2.18,1.14,128.71,0,0,0,0,0,12.46,24.39,0,8.04,1.75,1067.69,0,4.35,0.63,0,11.87,0,0,141.3,0,0,0.83,0,7.96
 72-82,0,0,2.32,4.86,0,265.34,0,0,155.18,0,2.57,1.84,0,6.53,7.47,34.24,0,0.72,2.98,955.17,4.91,10.04,1.04,0,1.7,0,0,109.97,5.21,0.87,3.23,1.11,30.21
 84-94,0,1.14,1.89,0,0,196.12,0,0,100.65,0.84,0.65,8.84,0.83,0,20.22,24.54,0.89,5.38,1.08,778.64,0,2.27,1.45,0,3.96,0,0,54.51,0,5.14,0,0,18.44
 96-106,0,0,4.53,3.93,0,258.58,3.42,4.16,132.61,3.34,1.41,4.34,1.9,0.61,3.65,23.35,0,1.02,0,723.21,0,4.77,1.12,0,6.79,0,0,26.76,0,0,2.2,0.93,0
108-118,0,0,2.1,3.09,1.45,256.92,0.43,0,154.73,1.57,1.01,12.18,0.78,0,15.44,18.86,0,0,1.97,908.41,0.51,4.86,0.56,0,2.88,0,0,29.73,0,1.77,2.02,2.47,12.93
120,0,0,5.31,0,0,165.3,0,4.44,228.15,8.8,3.77,1.92,0,0,18.7,40.76,0,0,6.46,1612.29,0,17.6,0,0,1.32,0,0,26.72,0,0,19.01,0,0
