stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,mural_cell,neural,olfactory,spinal_cord,vasculature,xanthophores
  3-4,17.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0
 24-34,0,0,0,0,0.63,0,0,0,0,0,0,0,0,51.24,0,3.85,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,304.97,0,10.22,0,0
 48-58,0,0,0,0,10.09,3.88,0,0,0.72,0,0,0.97,0,502.19,0,20.04,0,0
 60-70,0,0,1.15,0,149.78,0,0.87,1.53,1.8,0,0,0.92,0,929.32,0,40.52,0,0
 72-82,0,0,1.64,0.51,341.17,0,0,0.88,4.24,1.28,5.14,12.01,0,1344.46,0.55,28.39,0,3.78
 84-94,0,1.99,1.74,2.13,284.16,0,0,0.57,6.19,0,1.75,2.5,0,957.22,1.41,20.84,0,0
 96-106,0,0,0,0,297.16,0,0,0,17.73,0,0,0,0,822.98,0,14.13,2.1,5.49
108-118,0,0,6.33,0,203.8,1.13,0,0,13.94,0.78,1.28,1.89,4.04,797.29,0.54,20.41,0,0
120,0,0,23.22,0,181.49,0,0,0,0,0,4.1,18.8,0,967.76,0,10.15,0,0
