stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0.91,0,1.66,1.16,0,0
 24-34,1.28,0,0.74,0,0,1.57,0,0,0.6,0,0,0,0,0,0.65,17.39,0,0,1.14,2.29,0,0,0,3.11,2.82,0
 36-46,1.24,0,1.43,1.38,0,0,0,1.2,0,0,0,0,0,0,0,21.91,0,0,0,32.18,0,0,0,1.38,4.16,0
 48-58,7.5,0,6.66,0.7,0,0,0,0.4,4.7,0,0,0,5.12,1.67,0.4,46.79,0.61,0.78,0,0,0,3.29,0,1.04,3.59,5.51
 60-70,0,0,6.46,0,0,0,0.62,0,0.92,0,0,0.73,2.14,0,0,37.07,0,0,0,16.34,0,0,0,5.26,1.46,0
 72-82,0.58,0,5.37,0,0,9.44,2.22,0,0,0,1.07,0,0,0,0,14.86,0,0,0,2.64,0,0,0,0,8.54,0
 84-94,2.35,0,2.97,0,0,1.48,0,0,0,0,0,0,0,0,0,1.5,0,0.76,0,2.73,0,0,0,0,5.83,0
 96-106,0.63,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,6.25,0,0,0,3.06,0,0,0,0,7.6,0
108-118,0,0,2.58,0,0,0,0,0,1.48,0,0.42,0,5.71,0,0,7.77,0,0,0,1.72,0,0.51,0,0,6.36,0
120,3.34,3.18,2.68,0,6.17,0,0,0,1.5,8.05,0,0,4.48,0,3.12,8.64,0,0,0,4.06,0,0,0,0,6.49,0
