stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature,xanthophores
  5-6,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.48,0,0,5.46,0,0,6.2,0,0,0,0,0,0,0,0,0,19.98,0,0,0,0,0,7.8,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,28.85,3.1,0,0,20.25,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0.85,1.07,6.22,0,0,0,0,0,0,1.33,0,5.43,0,0
 24-34,0,0,0,0.64,0,0,0,0,0,1.16,0,0,0,0,0,0,9.73,0,0,0,0,2.26,0,0,5.89,6.53,1.33,0
 36-46,0,0,0,0,0,0,2.26,0,0,2.24,0.95,0,0.94,0,1.49,0,12.28,0,1.4,0,0,0,0,0,0,2.78,0,0
 48-58,0,0,0,0,0,0,1.56,0,0,1.25,0,0,0,0,0,0,9.85,0,0,0,0,0,0,0,0,1.51,0,0
 60-70,0,0,0,0,0,0,3.48,0,0,9.02,0,0.57,0.85,0,2.48,0,15.05,0,1.72,0.85,0,0,0,0,0,1.77,0,0
 72-82,0,0,0.87,0,2.08,6.13,6.51,0.5,0,5.48,0,0,0,0,6.46,0,43.33,0,5.21,0,0,0,0,0,1.5,7.08,3.84,0.63
 84-94,0,0,0,0,0.56,1.16,2.6,0,1.36,9.1,0,0,0,0,0,0,15.7,0,8.86,3.65,0,0,0,0,0,11.88,5.95,0
 96-106,0,0,0,0,0,0,0.77,0,0,0,0,0,0.74,0,0,0,9.49,0,5.55,2.87,0,0.73,0,0,0,0,0,0
108-118,0,0,0,0,0.52,9.74,2.04,0,0,4.61,0,0,0,0.69,2.98,0,44.16,0,6.67,0.93,0,2.63,0,0,0,0,2.17,0
120,0,0,0,0,0,1.29,6.97,0,0,0,0,0,0,1.07,0,0,56.39,0,1.26,0,0,0,0,0,0,0,0,0
