stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,47.51,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,352.22,62.38,0,0,0,0,0,0,0
 10-12,39.84,0,3.24,0,0,0,0,0,7.97,0,0,0,0,0,0,0,1154.93,76.27,0,0,0,0,0,0,0
 14-21,0,0,1.07,9.6,2.87,0.81,0,0,0,0,0,0,0,0.88,0,69.42,266.46,0,0,3.42,39.7,18.65,0,0,2.95
 24-34,0,0,0,1.58,0,5.26,0,0,0,0,0,0,0,2.83,45.75,78.64,436.18,0,5.22,0.93,0.83,22.26,0,0,19.95
 36-46,0,0,0,3.87,0,1.62,0,8.35,0,0,0,0,0,5.83,108.32,48.25,369.77,0,0,1.05,0,67.56,0,0,30.18
 48-58,0,0,0,2.05,0,16.67,0.6,30.31,0,0,0,0,0,6.24,162.41,53.39,269.8,0,0,0,0,70.54,0,0.41,41.01
 60-70,0,0,0,1.26,0,5.7,0,27.23,0,0,0,0,0,1.11,102.27,51.63,71.46,0,0,0,0,19.75,1.03,0,40.03
 72-82,0,0,0,0.57,3.31,18.93,0,35.28,0,0,0.57,0,0,6.03,118.44,30.39,51.87,0,0,0,0,5.12,0,0.67,23.17
 84-94,0,0.81,0,1.01,0,13.83,0,12.2,0,0,0,0,0,1.83,136.92,45.2,72.48,0,0,0,0,4.82,0,0,24.25
 96-106,0,0,0,0,0,8.78,0,13.54,0,0,0.58,0,0.95,2.84,114.82,42.01,42.93,0,0.72,0,0,0,0,0,8.49
108-118,0,0,0,0.44,0,12.63,0,20.85,0,0.59,0,1.03,0,1.28,81.46,33.73,51.97,0,0,0,0,0.95,0,0,32.14
120,0,0,0,0,0,8.17,0,22.25,0,0,0,0,0,1.33,94.1,32.6,98.63,0,0,0,0,1.34,0,0,27.1
