stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.12,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,4.48,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,1.73,0,0,1.96,5.43,15.74,0,0,0,0,3.14,0,5.13,0,3.1,0.84,0,0,0,0
 24-34,0,0,0,0,2.67,0,0,0.89,0,1.03,0,0,0,0,0.77,0,0,0,0,14.95,0,0,1.7,74.74,0,0.77,1.16,0,0,0.65,0,0,0,0,19.27,0,1.32,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,1.87,0,0,0,0,1.73,0,0,2.39,248.01,2.93,0.62,0,0,0,0,0,0,0,0,25.21,0,0,0,0
 48-58,0,0,0,0,3.34,0,0,5.49,0,0,0.55,8.68,0,0,0.9,0,8.17,0,0,19.82,0.74,0,0.67,520.61,0.45,0,0,0,0,0.55,0,0,0,0,48.7,0,0,0,0
 60-70,0.81,0,0.91,0,1.81,0,0,94.78,0,0,0,50.82,0,0,2.99,0,0,0,0,20.15,0,0,0.63,1130.82,0,0,0.63,0,0,5.82,0,0,0,0,88.33,0,0,0,12.92
 72-82,0,0,0,0,1.68,0,0,187.89,1.33,0,0.64,68.47,1.12,0,4.11,0,0,0,0,25.62,0,0,0,1476.56,0,0,0,0,0,0,0,0,0,0,73.38,0,1.53,0,0
 84-94,0,0,0,0,4.33,0,0,187.29,0,0,0,39.34,0,0,5.01,0,0,0,0,22.54,4.34,0,0,914.2,0,0,8.09,0,0.6,0,0,0,0,0,39.08,0,1.19,0.57,0
 96-106,0,0,0,0,3.85,15.34,0.8,161.34,0,0,0.64,79.57,0,0,4.23,1.06,0,0.75,0,12.52,0,0,0.78,980.05,0.98,0.57,0,0,0,1.49,0,0,0,0,41.96,0,0,0,0
108-118,0,0,0,0,3.58,0,0,146.43,0,0.95,0.89,90.45,0,0,8.94,0,0,0,2.42,14.84,0,0.97,0,951.11,1.86,1.9,1.8,0,6.58,0.62,0,0,0.84,0,30.83,0,0.58,0.5,0
120,0,0,0,0,2.89,6,15.5,281.65,0,0,0,174.69,0,0,4.1,0,0,0,0,15.11,2.14,0,0,1807.53,2.48,14.88,0,0,0,4.69,2.5,0,0,0,52.88,6.92,0,6.61,0
