stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.05,2.81,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.18,2.43,0.93,0,0,0,2.16,0,1.23,0.85,0.81,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0.77,10.94,0,0,0,0,0,0,0,1.02,1.08,0,0
 36-46,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,3.81,0,0,0,15.08,0,0,0,0,5.68,0,0,0,3.83,0,0
 48-58,0,0,2.32,0,14.23,0,0.55,1.93,0,1.06,0,0,0,0.4,1.76,0,0,1.04,12.46,0,0.86,0,0,3.15,0,0,0,1.81,0,0
 60-70,0,0,1.76,0,14.94,0,0,16.62,0,0,0,0,3.59,0,2.8,0,0,0,20.43,0,0.74,0,0,0,0,0,0,1.22,0,6.06
 72-82,0,0,0,0,43.98,0,0,2.22,0,0,0.72,0,0,0,2.77,0,0,0,7.85,0,0.79,2,0,2.99,0.73,0,0,0,0,0
 84-94,0,0,7.7,3.07,27.44,0,0,3.3,0,0,0,0.82,0,0,1.12,0,0,0,7.22,0,0,0.86,0,1.79,0,0,0,0,0,0
 96-106,0,0,0,0,9.72,0,1.05,0,0.86,0,0,0,0,0,1.51,6.46,0,0.78,18.4,0,0,0,0,0.62,0,0,0,0,0.82,0
108-118,0,0,0.65,0.89,10.29,1.63,0,4.92,0,0,0,0,0,0,3.54,0,2.79,0,4.33,0,0,0,0,0,0.42,0,0,0,0,0
120,0,0,0,0,6.63,0,0,5.22,1.09,0,0,0,0,1.12,4.07,0,0,0,22.46,0,7.9,0,0,0,0,0,0,15.77,0,0
