stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,77.11,903.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0
  5-6,34.28,488.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.47,0,0,0,0,4.94,0,0,0,0,0,30.2,0,12.37,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,0,0,0,0,0,0
 14-21,0,0,0.82,9.38,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,1.91,0,0
 24-34,0,0,0.68,1.37,4.94,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0.8,0
 36-46,0,0,0,0,0.67,0.8,0,0,0,0,0,0,1.9,0,2.42,0,0,0,0,1.32,0
 48-58,0,0,0,1.93,7.87,0,2.41,0,0,0,0,0,3.77,0,5.34,0,0,0,0,1.82,0
 60-70,0,0,0,5.33,2.93,0,11.42,0,0,0,0,0,6.41,0,3.74,0.76,0,0,0,0,0
 72-82,0,0,1.35,2.25,0,0,2.48,0,0,0,0,0,9.27,0,18.26,2.8,0,0,0,0,0
 84-94,0,0,0.82,0.91,2.1,0,3.64,0.69,0,0,1.56,0,4.5,0,9.7,0,0,0,0,0,0
 96-106,0,0,1.96,2.88,0.63,0,3.4,1.71,0,0,0,0.71,4.1,0,2.41,0.98,0,0,0.89,0,0
108-118,0,0,1.14,1.24,1.3,0,7.98,0,0,0.47,0.72,0,6.47,1.27,19.13,0,0,0,0,0,1.74
120,0,0,0,5.79,2.19,0,5.27,0,0,0,0,0,0,0,49.34,0,0,0,0,0,0
