stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,163.69,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0
  5-6,42.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0
 10-12,5.74,6.84,0,0,0,0,0,0,0,33.37,0,13.71,0,0,0,0,0
 14-21,0,0,1.13,0,0,0,0,3.81,2.78,2.72,0,0,0,0.93,0.88,0,0
 24-34,0,0,0.62,1.11,0,0,0,0,0,41.37,0,0,0,0,6.36,0,0
 36-46,0,0,0,0,0,0,0,0,0,154.31,0,0,0,0,16.59,0,0
 48-58,0,0,1.85,0,4.9,0.64,0,2.54,0,243.69,0.38,0,0,0,48.54,0.77,0
 60-70,0,0,0,0,7.29,0,0,0.97,0,327.29,0,0,0,0,82.47,0,0
 72-82,0,0,0,0,11.64,2.21,0,3.3,0,183.95,0,0,0,0,26.64,0,0
 84-94,0,0,0,0,11.42,0,0.67,0,0.61,159.2,0,0,0,0,17.62,0,0
 96-106,0,0,0,0,0.75,2.35,0,3.69,0,70.31,2.22,0,0,0,11.21,0,1.69
108-118,0,0,0,0,10.45,6.85,0,4.18,0,87.17,0,0,0,0,0,0,0
120,0,0,0,0,10.81,0,0,0,0,57.59,4.69,0,0,0,0,0,0
