stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,100.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0,0
  5-6,8.85,50.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.26,0,4.68,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,24.56,0,0,8.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.13,0,0,7.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.1,1.91,3.6,0,0,0,0,0,0,0,0,0,0,3.17,0,0,14.46,0,0,0,0,0,3.08,0,3.7,0,0.92,0,0
 24-34,0,0,0,0.59,0.61,0,4.96,0.82,0.64,0.83,0,0,0,0,0,0,0,5.23,0,2.14,40.71,0.75,0,0,0,0,0,0,10.79,0,3.47,0,0
 36-46,0,0,0,0,0,0,9.12,0,0.63,8.69,0,0,0,3.84,0,0,0,8.06,0,0.66,56.06,0,0,0,0,0.61,0,3.94,8.63,0,0,0,9.22
 48-58,0,0,0,0,0,0,22.1,0,0,1.21,0,0,0,0,0,0,0,4.56,0,0.38,39.62,0,0,0,0,0,0,0,12.21,0,0,0,0
 60-70,0,0,0.62,0,0,0,29.69,0,0,1.46,0,1.19,0,0,0.84,0,0.73,11.26,0,1.46,49.06,0.68,0.95,0,0,0.81,0,0,13.74,0,0,0,0
 72-82,0,0,0,0,0.58,4.92,40.41,0,0,6.02,0,0,0,0,0,3.06,0,17.4,1.64,0,60.61,0,0,0,0,1.01,0,0,15.5,1.23,1.32,0,0
 84-94,0,0,0,0,0,0,24.57,0.56,0,5.4,0,0,1.03,0,2.13,0,0,9.2,0.58,0,12.53,1.37,0,0,0,0.91,0,0,13.35,0,1.69,0,0
 96-106,0,0,1.38,0,0,0,35.54,0.66,0,0.87,0,0,0.85,0,0.88,0,0,4.23,0,1.67,37.03,0,0,0,0,0,0,0,6.94,1.15,2.48,1.03,0
108-118,0,0,0,0,6.09,1.16,41.12,1.54,0.49,11,0,0.78,0,0,0,0,0,19.17,1.44,1.81,34.41,0,0.9,0,0,1.25,0,0,4.42,0,0,0,2.22
120,0,0,0,0,5.2,1.14,13.26,0,0,12.14,0,0,0,0,0,1.37,0,39.22,0,0,40.75,1.08,1.74,0,1.79,1.28,0,0,0,0,16.24,8.85,0
