stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,16.24,125.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.8,136.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.08,0,0,0,20.66,0,12.69,0,0,0,0,0,0,0,0,0
  7-9,6.19,25.19,0,12.38,0,0,0,66.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261.22,27.72,0,0,140.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.84,0,32.1,0,20.3,0,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2201.22,0,0,0,127.97,0,0,5.33,0,18.73,0,0,9.6,0,0,0
 14-21,0,0,0,2.2,147.11,6.7,0,94,0,0,0,22.61,8.08,0,1.15,0,0,0,2.04,23.5,0,0,72.38,236.28,171.15,0.93,8.87,4.04,0,0,0,21.23,1.71,0.93,88.66,122.89,0,4.06,0
 24-34,0,0,0,4,26.99,0,0,44.53,1.2,0,0,28.29,0.61,0,0,0,3.86,0,5.16,55.07,0,0,109.34,209.01,3.73,1.38,2.93,0,0,0,0,3.09,0,1.74,8.23,116,0,13.69,2.89
 36-46,0,0,0,0.84,7.16,0,0,76.76,0,0,0,29.75,0,0,0,0,4.77,0,30.75,48.04,0,0,89.35,189.7,13.52,0.77,0.97,0,0,0,0,0,0,0,0,224.08,0,10.08,0
 48-58,0,0,0,1.61,10.01,0,0,37.78,0,0,0,14.68,0.58,0.83,0.37,1.29,1.27,0,8.26,51.52,0,0,36.89,158.77,0,0.77,1.72,0,0.39,2.08,0,0,0,1.48,0,188.99,0,1.96,0
 60-70,0,0,0,0,10.89,0,0,15.18,0,1.96,0,32.42,9.23,0,0,1.88,5.48,0,2.08,34.43,0,0,11.06,46.64,1.43,0,1.48,0,2.87,0,0,0,0,0,0,83.71,0,0,0
 72-82,0,0,0,0,8.09,0,0,10.55,0,0,0,49.41,2.26,0,0.56,9.67,9.1,0,0,30.1,0,0,6.03,45.51,1.22,0,2.18,0,2.9,1.41,0,0,0,0,0,24.22,0,0,0
 84-94,0,0,0,0,8.92,0,0,29.27,0,0,0,34.97,5.92,0,0.8,4.56,6.91,0,0,35.62,0,2.37,26.53,47.03,4.97,0,1.95,0,1.01,1.55,0,0,0,0,0,22.49,0,0,0
 96-106,0,0,0,0,19.89,0,0,19.37,0,0,0,55.19,1.49,0,0.56,6.14,16.22,0,0,18.27,0,0,5.82,33.85,6.44,0,3.86,0,4.35,0.67,0,0,0,0,0,11.05,0.9,2.35,0
108-118,0,0,1.18,0,4.37,0,0.49,10.97,0,0,0,41.02,2.92,0,0,7.46,7.55,0.58,0,15.05,0,0,5.37,37.19,2.15,1.24,2.58,0,5.91,0,0,0,0,0,0,3.54,0,0,0
120,0,0,0,0,3.27,0,0,23.23,0,0,2.66,64.55,2.8,0,0,5.51,2.66,0,0,19.21,3.22,0,5.69,8.52,6.15,0,6.93,0,4.48,0,0,0,0,0,0,31.72,0,0,0
