stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.94,15.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,84.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.81,0,3.32,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,55.84,6.46,0,0,12.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62,0,0,0,26.07,0,0,0,0,0,0,0,0
 14-21,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,11.82,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.11,0,0,0,0,0,0,5.89,0,0,0,1.45,0,0.65,252.81,0,0,0,0,1.31,0,45.15,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.88,0,0,0,0.57,0,0,0,0,5.79,2.03,0,0,1.26,524.92,0,0.66,0,0,0,0,99.7,0,0,0,0,0
 48-58,0,0,0.54,0,0,0,22.17,0,0,0,9.44,0,0,0.47,0,0.41,0.98,0.7,0,0,987.51,0.6,0,0,0,0,0,74.55,0,0,0,0,2.94
 60-70,0,0,0,0,0,0,148.31,1.44,0,0,5.26,0,0,0,0,6.22,2.59,0,12.23,0,1686.73,0,0,0,0,0,0,119.23,0,0,0,0,0
 72-82,0,0,0.9,0,3.89,5.81,359.13,0,0,0,15.4,0,0.55,0,0,0,5.84,0,0,0.5,2166.91,0,0,0,0,1.8,3.93,91.73,0,0.73,0,0,0
 84-94,0,0,0,0,4.27,0,263.9,0,0,0.67,26.14,0,0,3.56,0,0,13.91,0,6.8,1.2,1227.73,0,0,0,0,0,0,37.44,0,0,0.84,2.23,0
 96-106,0,0,0,0,5.93,0,347.1,0,0,0,14.68,0,0.66,1.29,8.31,1.03,14,0.76,5.05,0,1086.35,0,2.61,0,0,1.38,0,15.54,0,0.66,0,0,8.74
108-118,0,0,1.56,0,14.28,0,249.23,0.65,0,0,15.05,0.95,0,1.41,0,3.76,7.5,0,4.77,0.57,1243.16,0,0.58,1.13,0,2.78,0,34.98,0.5,1.46,0.55,0,0
120,0,0,0,0,5.74,15.15,267.96,0,2.74,0,24.18,0,3.15,0,4.74,0,6.71,0,0,0,2344.54,6.74,0,0,0,1.73,0,41.48,0,0,2.9,0,0
