stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
 14-21,1.41,4.73,0,0,0,0,0,0,0,0,0,0,1.93,0,8.39,0,0,0,0,0.89,2.11,1.84,0,0
 24-34,0,1.24,0,0,3.55,0.86,0,6.58,0,0,0,0,1.41,1.6,51.42,0.71,0,3.1,1.02,0,1.38,15.75,0,0
 36-46,0,0.57,0,0,9.31,0,0.58,2.74,0,0,0,0,10.63,0,72,0.55,0,1.31,3.83,0,0,9.58,0,0
 48-58,0,0,0,0,10.7,0,0,7.54,0,0,0,0,2,0,74.24,0,0,0.59,5.76,0,0,6.28,0,0
 60-70,0,5.83,0,0,32.31,0,0.85,4.11,0,0,0,0,8.68,0,71.52,0,1.02,0,2.94,0,0,12.33,0,4.95
 72-82,0,0.62,0,0,13.33,0,0,4.62,0.6,0,0.68,0,1.87,0,24.7,0,0,0,0,0,0,0,0,0
 84-94,0,0.83,0.56,0,15.29,0,0,11.11,0.94,0.64,0.73,1.2,4.79,0,12.68,0,0,2.77,2.73,0,0,0,0,0
 96-106,0,4.87,0,0,6.25,2.75,0,1.73,0,0,0,0,2.52,0,27.86,0,1.7,0,5.34,0,0,4.26,0,0
108-118,0,8.81,0.46,0,14.93,0,0,17.84,0.59,0,1.48,0,1.32,0,26.99,0,0,0,8.33,0,0,0.93,0.67,0
120,0,8.9,0,1.89,5.47,0,0,9.44,1.34,0,0,1.77,4.59,0,57.94,0,1.26,0,2.05,0,0,0,0,0
