stage,axial,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.81,9.04,0,0,3.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.77,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,34.65,0,0,0,24.84,0,0,15.39,0,0,0,0,0,0,0
 14-21,0.89,1.73,0,2.16,0,0,0,0.98,0,0,0,0,0,0,0,1.02,0,0,0,30.46,7.7,0,0,0,0,0,0,1.31,2.58,0,0,0,0,0
 24-34,0,5.06,0,7.85,0,0.61,1,0,0,0.75,0,0,0,0.68,0,3.42,0,0,0.77,123.06,0.62,0,0.73,0,0.79,0,0,0,29.16,0,0,1.09,0,0.81
 36-46,0,4.86,0,3.06,0.88,0,9.49,0,0,0,0,0,0,0.57,0,9.28,0,0,0,218.6,0,0,2.04,0,3.22,0.65,0,0,63.82,0,0,1.34,0,0.97
 48-58,0,4.73,0,9.67,0,0,24.86,0,0,0,1.14,0,0,0.89,0,1.52,0,0,0.6,321.38,0,0,0,0,4.02,0,0.99,0,63.7,0,0,0,0,1.78
 60-70,0,2.07,0,31.48,0,0,30.32,0,0,0,0,0,0,0,0,4.21,0,0,0,467.01,0,0,0.89,0,2.44,0,0,0,58.33,0,0,0,0,0
 72-82,0,3.86,0,68.41,0,0.62,26.09,0,0,0,0,0.52,0.72,0,0.79,9.58,0,0,0,587.89,0,1.85,1.05,0,0,0,0.59,0,60.17,1.36,1.08,0,0,10.26
 84-94,0,13.01,0.8,71.13,0,0,26.18,0,0,0,1.03,0,0,0,0,5.62,3.24,1.98,3.99,374.63,0,1.54,4.83,0,1.23,0,4.06,0,57.07,0,0,0,0,0
 96-106,0,5.25,0,63.67,0,0,43.55,2.58,0,0,0,0,0,0,0,10.71,0,0,0,294.81,0,0.61,3.15,0,4.53,0,5.45,0,34.52,1.17,0,0,0,0
108-118,0,12.06,6.4,129.04,0.42,0,35.52,0,0,0,2.88,0,0,0.66,2.17,14.47,0,0,0,374.83,0,2.88,7.54,0,0,0,2.76,0,45.41,2.47,0.99,0.74,0.57,0
120,0,1.47,0,101.73,0,0,15.72,1.38,0,0,0,0,0,3.36,0,0,0,0,0,486.21,0,0,28.06,0,0,0,1.23,0,24.19,0,0,0,0,0
