stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,60.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,8.23,0,0,13.97,0,12.23,0,0,0,0,0
 14-21,0,0.82,3.78,0,6.13,0,2.16,0,0.87,0,0,0,0,0.94,3.42,0,11.54,54.88,0,0,0,0,0,13.02,0,45.66,267.99,100.04,0,0,0,0
 24-34,0,0,4.84,0,3.33,0,3.58,0.82,0,0,4.49,0,0,2.78,3.83,0,3.28,293.49,0,5.74,0,0,0,0,0,3.39,37.82,332.35,0,0,0,3.29
 36-46,0,0,3.9,0,44.82,0.68,43.03,0,0,0,0.56,0,0,9.22,5.31,0,14.49,329.57,0,7.65,0,0,5.3,0,0,2.72,0,503.08,0,0,0,7.12
 48-58,0,0.39,1.51,0,120.59,0.66,97.12,0,0,0,0.51,0,0,5.9,5.22,0,30.14,264.75,0,2.95,1.44,0,0,0,0,1.93,0,448.51,0,0,0,18.22
 60-70,0,0,5.4,0,323.37,1.21,111.63,0,0,3.2,17.1,0,0,5.28,3.84,0,10.47,150.6,3.13,16.27,0,0,0,0,0,5.43,0,194.58,0,0,0,32.07
 72-82,0,0.95,4.12,0,260.89,0,61.06,1.49,0,0,7.16,1.3,0,0,9.04,0,6.56,135.98,0,11.22,0.81,0,6.74,0,0,0,0,50.8,0,0.94,0,42.3
 84-94,0,0,1.18,5.22,269.34,0,28.42,1.4,0,0,12.93,0,1.18,6.72,2.32,0,9.6,153.88,0,20.19,0,0,4.03,0,0,0,0,55.72,2.17,0.92,2.06,27.92
 96-106,0,0,2.13,0,229.88,0,40.2,6.68,0,0,8.69,0,0,0,11.18,0,5.25,116.7,0,11.54,0,0,0.68,0,0,0,0,5.76,0,0.58,0,25.09
108-118,0,0.57,3.24,6.95,323.3,0.7,70.89,4,0,0.72,23.92,0,7.2,0.97,9.85,1.9,13.47,202.41,6.81,15.88,1.01,0,0,0,0,0,0,9.46,3.18,1.17,0.57,51.56
120,0,0,2.98,0,168.34,0,81.37,0,0,0,10.33,0,0,1.33,2.32,0,16.96,308.43,0,28.3,0,0,1.37,0,0,0,0,4.39,0,0,0,21.73
