stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,203.85,1448.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.13,0,0,0,0,0,0,0,0,0,0,0
  5-6,394.59,933.34,0,19.76,0,0,0,0,0,0,0,0,77.83,0,0,0,0,0,0,0,0,0,0,0,123.18,0,0,0,78.81,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,119.13,50.08,0,322.5,0,0,18.98,0,0,0,0,0,93.86,0,0,0,0,0,0,0,0,0,0,0,944.28,206.07,0,0,2740.36,0,8.28,10.27,0,0,0,0,0,0,0,0,0,0
 10-12,0,76.65,0,460.33,0,28.62,96,0,0,0,0,0,16.28,0,0,0,0,0,9.05,0,0,0,0,0,2609.62,246.48,0,0,7625.49,0,0,0,29.43,21.28,0,61.67,10.18,0,0,0,0,0
 14-21,0,1.36,1.05,37.54,677.78,91.63,129.14,0,0,0,72.43,22.19,2.29,2.85,0,2.26,1.52,4.35,4.33,5,111.55,0.9,0,166.54,966.4,435.68,1.23,8.83,496.74,0,4.55,0,1554.11,0.82,167.34,1650.97,2312.96,0,0,1.29,0,5.31
 24-34,0,0,0,16.56,243.97,0.61,82.98,10.12,13.14,3.54,308.22,8.73,0,5.31,0,0.68,3.29,24.79,0,3.64,197.25,1.42,0.69,142.99,1374.98,92.47,3.47,35.15,1.99,2.91,12.51,0,3.3,6.59,25.53,323.92,1590.73,0,0,10.6,0,4.97
 36-46,8.46,0,0,0.8,191.5,2.7,84.38,20.45,7.39,6,324.04,4.44,0,13.02,0,1.57,22.22,24.88,4.06,7.34,341.21,0.65,5.84,87.49,946.49,100.61,1.56,27.61,0,0,2.89,0,0,3.49,15,6.62,1357.96,0,1.37,5.96,0,0
 48-58,1.35,0,0.39,0,146.41,0,138.42,22.53,10.46,11.17,500.3,1.77,0,0,0,0,0,20.61,0,11.9,562.28,0,9.29,130.9,685.32,70.41,1.14,30.99,4.77,0,10.38,0,0,3.95,17.61,0,900.59,0,1.25,0.39,0,0.83
 60-70,0,0,0,0,125.14,0,89.11,32.67,18.79,6.69,489.8,3.99,0,0.59,0,9.48,0,47.49,2.83,4.96,889.92,0,22.33,97.83,437.92,36.26,0,13.26,0,4.2,10.27,0,1.38,10.6,15.4,0,622.85,0,31.02,12.44,6.01,0
 72-82,0,0,1.43,0,89.89,4.45,115.08,17.24,7.28,13.94,377.43,10.74,0,0,0,10.86,0,39.32,1.36,4.54,1335.82,0.73,41.4,96.57,339.15,14.01,0,16.08,0,22.01,1.55,0,0,4.88,1.94,0,477.8,0,31.45,6.72,52.96,0
 84-94,0,0,0,1.01,142.05,0,177.58,14.27,25.48,10.45,375.39,34.94,0,1.87,0,17.97,3.07,42.53,0,5.55,871.57,0,53.96,91.38,220.26,23.98,0,28.64,0,1.62,2.63,0,0,18.73,1.78,0,392.13,1.7,40.86,5.99,70.56,0
 96-106,0,0,0,0,116.6,3.98,106.07,19.59,28.86,4.39,334.33,10.08,0,4.61,0.64,12.79,0,38.09,1.84,1.84,730.94,1.38,41.73,81.58,202.15,10.98,5.12,11.67,0,19.07,13.75,0.76,0,26.23,2.52,0,479.24,2.55,48.97,10.26,78.15,0
108-118,0,0,0,0,151.16,2.63,60.62,32.37,20.91,4.48,323.07,12.37,0,0,1.13,19.51,7.56,36.57,7.3,2.46,972.93,2.89,17.89,79.01,254.98,40.62,1.72,20.11,0,40.16,0,0,0,24.34,7.34,0,186.07,0.42,19.53,3.51,23.79,0
120,0,0,0,0,170.23,2.35,110.44,33.6,11.41,11.08,391.46,3.67,0,0,3.52,5.29,0,23.4,0,1.79,968.74,0,62.93,86.88,346.69,34.28,0,22.9,19.84,0,2.88,0,1.12,14.4,0,0,312.91,0,32.83,12.73,36.46,0
