stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,56.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.48,0,0,5,0,0,0,3.41,0,0,0,0,0,0,0,0,52.64,0,0,0,24.42,0,0,0,0,0,0,0
 10-12,0,7.46,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,50.69,7.36,0,0,3.22,0,0,16.2,0,0,0,0
 14-21,0,0,11.19,0.98,0,0,0,4.2,0,0,0,0,1.84,2.5,0,0,2.22,48.03,0,1.51,0,1.56,6.89,4.66,0,2.58,16.27,0,0
 24-34,0,0,0.67,0,0.78,0,0,0.7,0,0,0,0,0,7.06,0,0,3.53,30.67,0,0,0.75,0,11.45,0,1.09,0,5.27,1.08,1.99
 36-46,0,0,0,0,1.58,0,0,0,0,0.79,0,0.7,0,2.91,0,0,0.74,14.53,0,0.81,0,0,21.66,0,0,0,2.79,2.5,0
 48-58,0,0,0,0,4.68,0.41,0.41,0,0,0,0,0,0,0.95,0,0,3.75,5.23,0,0,0,0,3.89,0,0,0,0.53,0,0
 60-70,0,0,0,3.03,0,0,0,0,0,0,0,0,0,1.89,0,0,0,2.29,0,0,0,0,7.69,0,0,0,4.01,0,0
 72-82,0,0,0,0,0,0,0,1.24,0,0,0,0,0,2.16,0,0,0.96,4.65,0,0,0,0,10.47,0,0,0,2.01,0,0
 84-94,0,0,0,0.66,0,0,0,1.99,0,0,0,0,0,4.95,0,4.32,1.66,9.57,0,3.11,0,0,8.84,0,0,0,0,0,0
 96-106,0,0,0.66,2.8,7.16,0,0,0.6,0,0,0,0,0,2.23,2.72,0,0,1.15,0,0,0,0,11.26,0,0,0,0,0,3.29
108-118,0,0,0,0,3.19,0,0,0.45,0,0,1.36,0,0,0,0,0,0,1.59,0,0,0,0,1,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
