stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,4033.84,71189.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899.55,0,0,0,0,0,0,0,0,0,0
  5-6,11177.7,146694.65,0,246.36,0,0,0,0,0,0,0,0,348.05,0,0,0,0,0,0,0,0,0,0,0,4532.79,396.49,0,0,1134.28,0,1943.78,0,0,0,0,0,0,0,0,0,0
  7-9,2696.45,3001.83,0,5016.46,0,25.82,0,10095.75,0,0,0,0,2790.48,0,0,0,0,0,0,0,0,0,0,0,97086.69,2837.45,0,0,30282.35,0,112.26,135.74,0,90.54,0,0,0,0,0,0,0
 10-12,4.89,1346.87,0,1770.22,0,270.39,0,4051.36,0,0,0,0,506.57,0,0,0,0,0,7.47,0,0,0,0,7.75,34075.61,703.9,0,0,11806.73,0,42.71,50.47,16.73,1616.66,93.1,86.49,0,0,0,0,0
 14-21,0,1.28,0,16.15,201.54,50.19,0,116.29,0,0,33.26,2.78,0.94,0,0,1.87,0,0.84,0,0,105.2,0,0,99.56,1284.12,22.58,10.21,19.27,61.01,0,18.09,3.69,212.68,5.46,122.87,465.84,0,0,1.77,0,0.84
 24-34,0,0,0,3.77,39.79,9.52,0,240.47,2.04,0.72,34.16,1.66,0,4.48,5.09,5.39,1.56,8.22,9.6,1.71,150.43,0.68,0,71.44,1365.42,15.63,11.2,11.98,0,0,22.08,0,1.74,0.6,8.66,313.04,0,0,14.83,0,3.62
 36-46,0,0,0,0.56,28.11,13.29,0,443.02,6.34,2.62,27.53,1.38,0,3.74,17.05,1.79,2.44,0,1.64,1.99,153.89,1.58,0,36.83,847.7,1.27,4.77,6.21,0,0,14.72,0,0,0,0,160.66,0,0,25.64,0,3.55
 48-58,0,0,0,0.9,23.86,0.42,0,678.02,0.66,1.8,67.22,5.77,0,5.2,7.86,1.73,0,2.62,12.33,0,152.65,1.19,21.93,34.8,688.55,0.56,5.91,5.57,3.66,0,4.58,0.65,0,0.43,0,90.78,0,0,34.71,0,17.89
 60-70,0,0,4.68,0,38.24,0,0,481.17,3.94,2.02,34.39,14.11,0,1.07,11.04,2.65,0,2.52,0,0,99.37,0,8.12,15.22,481.67,0.75,1.17,0,0,0,11.58,0,0,4.51,0,22.46,0,0,7.98,1.79,0
 72-82,0,0,4.27,0,12.29,6.59,0,152.56,0,4.52,39.21,2.7,0,1.1,10.08,1.44,0.73,1.65,2.91,2.67,102.03,0.58,14.49,12.71,323.28,0,2.78,2.21,0,3.06,4.15,0,0,0,0,20.34,0,0,20.38,0,0
 84-94,0,0,0,0,23.4,9.24,0,147.75,0.91,5.16,27.14,4.55,0,1.22,13.76,2.67,2.89,0.81,0,0,111.08,1.13,20.87,16.21,247.03,1.16,0.83,0,0,0,9.93,0,0,3.38,0,18.07,3.26,2.14,14.6,1.64,0
 96-106,0,0,0,0,16.18,3.32,0,97.11,0.61,1.01,30.12,3.27,0,2.81,11.66,0,2.49,2.42,0.63,0,81.2,0.67,5.17,11.88,178.97,0,3.26,1.23,0,3.65,2.6,0,0,3.26,0,11.63,0,0,9.09,1.86,1.51
108-118,0,0,0,0,12.59,6.37,0.47,90.5,1.1,2.4,16.43,5.05,0,1.47,13.79,0,6.51,1.89,4.26,0,71.88,1.08,1.19,8.35,206.01,0,0,0,0,1.6,0.98,0,0,1.76,0,9.22,0,0,6.38,0,0
120,0,0,0,0,18.86,17.54,4.06,88.24,0,4.42,49.17,6.68,0,0,10,1.4,1.74,0,4.13,0,118.55,0,0,17.99,212.4,0,1.27,0,0,0,5.72,0,0,1.22,0,11.48,0,0,17.11,0,0
