stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.87,250.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,56.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.03,6.68,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.87,5.71,143.06,0,0,27.65,0,0.95,0,2.09,0,1.3,0,27.43,0,0,0,5.25,0,0,5.69,133.81,0.81,2.09,5.59,0,0,45.34,0,3.46,7.87,0,4.03,48.87,0,0,1.77,0,0
 24-34,0,0,1.05,1.84,68.05,0,0,93.01,0,6.92,0,5.17,3.4,0,0,22.59,0,1.32,0.65,30.78,1.71,0,11.64,266.22,2.77,4.48,6.48,0,0,61.46,0,0,7.76,0,3.07,70.67,0,0,1.59,0,1.49
 36-46,0,0,0,0,36.21,0.67,0,199.82,0,21.08,0,7.01,3.01,0,0,18.22,0,0,9,17.09,0,0,2.32,341.15,0,8.48,8.25,0,0,98.48,0,0,5.37,0,0,85.74,0,0,0,0,0
 48-58,0,0,0,0.93,37.71,1.99,0,441.84,1.89,10.99,1.27,18.88,4.2,0,0,11.31,8.98,1.71,13.07,27.07,0.82,0,2,475.46,0,9.35,14.08,0,0,34.78,0,0,4.73,0,0,74.95,0,0,1.1,0,3.71
 60-70,0,0,0,5.18,46.14,0,0,667.89,1.17,16.38,0,16.33,13.15,0,0,8.68,0,2.05,2.6,32.53,0,0,4.03,624.47,0,2.78,12.07,0,0,47.74,0,0,3.5,0,0,66.21,0,0,0,0,0
 72-82,0,0,0,0.79,28.66,0.66,1.04,722.13,0,14.82,3.04,18.62,3.11,0,0,0,0.93,5.42,1.69,100.66,0.55,7.48,5.8,607.14,0,6.32,19.88,0,0,38.77,0,0,3.39,0,0,49.75,0.56,0,0,0,6.08
 84-94,0,0,0,0,77.88,0.64,0,606.53,0,27.68,0,27.66,9.78,0,0,1.63,0,1.2,5.24,87.3,0.68,1.36,3.98,392.65,0,10.96,26.35,0,0,110.93,0,0,15.6,0,0,22.41,3.37,1.08,0,0,0
 96-106,0,0,1.43,0,65.04,6.55,0.8,575.19,0,19.07,0,29.25,12.91,0,0,1.42,0,0,5.27,110.93,2.74,0,4.02,326.56,0,10.67,16.39,0,5.22,142.98,0,0,2.59,0,0,12.24,1.44,4.16,0,3.86,0.85
108-118,0,0,0.93,1.65,108.35,1.91,10.77,473.25,0,24.9,0,36.42,25.75,0,0,7.03,0,3.76,20.57,187.44,1.22,0,4.85,407.47,0,6.14,25.6,0,2.05,82.83,0,0,4.67,0.51,0,16.21,0,0.66,0.77,0.65,0
120,1.12,0,0,1.27,127.01,2.35,4.85,395.26,0,20.55,0,82.43,12.67,0,9.62,5.65,0,6.94,15.74,241.33,1.31,4.29,6.94,617.88,0,19.94,15.68,0,0,62.16,0,0,18.94,0,0,2.02,0,0,0,0,0
