stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.21,1268.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.43,0,0,0,0,0,0,0,0,0,0
  5-6,44.57,1040.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0
  7-9,0,31.48,0,28.65,0,0,0,173.55,0,0,0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,956.77,0,0,0,310.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,67.58,0,33.44,0,45.36,0,115.66,0,0,0,0,12.13,0,0,0,0,0,0,0,0,0,0,0,1312,36.5,0,0,462.01,0,0,0,0,89.21,0,3.24,0,0,0,0,0
 14-21,0,0,0,7.71,77.63,12.84,0,49.03,0,0,14.07,1.8,0,1.07,0,1.88,0,0.84,0,0,47.7,0,0,24.11,621.71,14.83,1.81,5.49,10.86,0,7.23,0,34.84,4.69,0,30.94,185.16,0,2.45,0,0
 24-34,0,0,0,3.31,24.89,2.28,0,145.05,0,9.31,22.92,2.77,0,3.08,3.98,0,4.18,3.46,3.91,0,107.86,0,0.91,31.1,877.24,3.36,4.72,11.24,0,0.99,10.48,0,0,2.78,0,2.6,179.19,0,12.46,0,3.06
 36-46,0,0,0.85,1.15,11.24,0,0,154.87,0,0.78,17.51,1.76,0,2.46,0.65,0,0.65,0,2.4,0,62.35,0,4.09,13.45,363.29,0,6.53,3.28,0,0,10.49,0.81,0,0,0,0,72.63,0,1.37,0,0
 48-58,0,0,0,0.44,28,0,0,138.59,0,1.16,25.01,1.15,0,2.41,6.95,0,5.72,0.5,2.11,4.24,71.89,0,3.38,15.31,200,5.32,0.88,2.29,0,0,1.89,0,0,0,0,0,24.18,0,3.13,0,0.71
 60-70,0.81,0,0,0,24.28,0,0,72.84,1.98,0,31.37,1.6,0,0,0,0,2.09,1.12,0,5.25,49.41,1.01,5.2,9.67,93.41,0,1.93,0,0,0,4.15,0,0,0,0,0,14.63,0,4.07,0,0
 72-82,0,0,0,0,8.06,3.93,0,31.88,0,4.45,30.52,1.95,0,0.58,0,0.64,0,0,1.57,0,108.03,0.73,0.77,13.78,98.13,0.52,5.65,0,0,1.12,0.49,0,0,1.25,0,0,9.28,0.58,14.77,0,12.71
 84-94,0,0,0,0,17.31,3.82,1.48,35.24,2.8,11.68,21.82,2.89,0,1.14,7.26,2.25,1.33,0.73,0,0,61.86,0,7.65,23.22,83.3,2.94,2.85,2.88,0,1.4,13.11,0,0,2.09,0.73,0,12.22,0,2.58,1.4,0.74
 96-106,0,0,0,0,12.65,3.31,0,25.71,2.15,9,36.04,1.21,0,1.9,5.66,1.39,4.36,1.8,0.76,0,63.12,0,0,7.78,80.28,0.57,4.24,5.13,0,1.77,16.14,0,0,0,0,0,5.58,0,23.95,0,0
108-118,0,0,0,0,13.09,0.75,0.53,42.81,4.04,8.56,40.25,0.85,0,0.89,1.94,3.13,3.29,0,8.74,0,91.34,0.53,0.94,23.9,98.28,0,2.2,2.78,0,1.37,19.91,0,0,0,0,0,11,0,7.78,2.62,13.96
120,0,0,0,0,26.89,4.03,0,61.61,2.61,1.26,39.52,4.4,0,1.54,7.08,1.28,0,1.76,1.05,0,132.05,1.63,13.09,9.35,98.93,2.58,5.03,1.4,0,0,22.77,0,0,0,4.04,0,32.36,0,18.95,5.15,1.1
