stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5.35,0,0,0,0,4.8,0,3.8,0,3.36,0,0,0,0,2.13,0,0,0.87,8.35,0,0.88,2.62,3.07,2.73,0.81,8.86,0,0,0,0
 24-34,0,4.81,0,3.31,5.14,0,2.4,0,0,0,16.28,0,0,0,0,0,0.67,0,3.48,32.76,8.05,1.16,0,0,0,1.48,16.64,0,0.68,0,0
 36-46,0,0.84,0,1.96,0.69,0,2.13,0,1.09,0,7.6,0,0,0,0,4.52,0,0,0.56,38.98,5.94,1.93,1.94,0,0,0,4.38,0,0,0,0
 48-58,0,2.15,0,8.32,0.47,0,2.19,0,0.37,0,7.82,0,0,0,0,4.32,0.41,0.52,0.92,16.16,6.91,0.7,0,0,0,0,15.48,0,0,0,0
 60-70,0,0,0,25.81,0,0,0.9,0.64,0,0,6.02,0,0,2.11,0,4.02,3.09,0,0,11.54,0,0,1.32,0,0,0,5.44,0.81,0,0,0
 72-82,1.8,0.95,0,7.86,0,0,5.59,2.7,0,0,3.84,2.14,0,0,0,14.53,11.39,0,2.9,8.41,18,0.55,0.54,0,0,0,1.61,3.74,1.58,0,0
 84-94,0,3.82,0,3.87,0,0,3,1.86,0,0.58,14.11,0,0,0,0,15.28,13.43,1.87,2.37,11.5,15.29,0,0.58,0,3.2,0,5.64,12.12,0,0,0
 96-106,0,7.23,0,10.33,1.71,8.15,4.33,12.02,0,0,11.22,0,1.58,0,0,7.82,7.72,0,0,20.23,34.3,0,0.6,0,0,0,1.72,21.79,0.61,0.87,2.39
108-118,0,3.68,1.29,8.87,1.3,0,2.84,21.17,0,1.52,19.67,0,0.94,0.92,0.83,16.16,15.45,0,0,11.03,25.52,2,3.47,0,2.38,0,2.58,23,0,0.57,1.94
120,0,15.15,0,9.63,0,0,6.49,1.38,0,0,28.1,0,1.15,0,0,22.74,4.37,0,0,11.07,23.72,1.12,2.39,0,0,0,2.14,13.3,0,2.27,0
