stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.55,320.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0,0
  5-6,33.32,377.86,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,81.36,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.8,31.15,37.75,0,0,0,34.92,0,0,0,0,5.92,0,0,0,0,0,0,0,0,331.45,24.17,0,0,130.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.43,22.94,0,0,0,31.39,0,0,0,0,7.95,0,0,0,0,0,0,0,0,254.32,23.61,0,0,241.81,0,0,4.75,18.72,0,0,9.81,0,0,0,0
 14-21,0,0,0,32.91,4.41,0,4.11,0,0,4.43,3.89,0,0,0,0,0,5.58,0,0,7.73,78.88,16.39,0,15.06,35.86,0,5.45,24.02,0,0,12.05,37.93,0,1.7,0,0
 24-34,0,0,0,12.6,1.88,0,3.97,1.11,0,3.97,1.79,0,0.82,0,0,0,8.14,0,0,6.19,32.73,0,0,0.73,0,0,5.47,0,0.64,0,3.43,15.5,0,12.55,0,0
 36-46,0,0,0,0,0,0,16.05,0,0,8.28,0,0,0,0,0,0,3.51,0,0,1.56,26.9,0,1.02,1.31,0,0,10.97,0,0,0,0,5.12,0,1.74,0,0
 48-58,0,0,0,0.39,0,0,6.73,0,0.81,1.25,1.15,0,0,0,0,0.4,9,0,0.41,3.43,21.58,0,0,0,0,0,6.48,0,0,1.87,0,3.16,0,2,0,0
 60-70,0,0,0,0.8,0,0,2.86,5.34,9.66,0,0,0,1.77,0,0,0,3.83,0,0.84,1.36,13.55,1.87,0,0,0,0.84,0.64,0,0,1.63,0,5.56,0,2.35,0,0
 72-82,0,0,0,1.88,1.56,0,6.55,0.55,2.33,1.59,0.53,0,0,0.52,0,0,23.78,0,0.94,0.8,28.15,0,0,2.31,0,0,1.98,0,0,0,0,6.37,0.51,4.32,0,0
 84-94,0,0,0,2.58,0,0,2.31,1.46,1.17,0,1.19,0,0,0.93,0,0,10.41,0,0.6,2.22,9.56,0,2.86,0.59,0,0,17.05,0,0.67,0.69,0,0.86,1.37,4.32,0,0.74
 96-106,0,0,0,4.47,2.94,0,4.94,0.59,15.97,0,1.06,0,0.75,0,0,0,18.28,2.05,0.85,3,14.87,0,0.59,0,0,0,3.39,0,0.7,0,0,1.83,0,6.87,1.14,0
108-118,0,0,0,2.14,0,4.96,0,2.74,2.54,6.07,1.02,0,0,0.42,0.42,1.77,17.93,0.77,0,1.72,10.66,0,0.75,0,0,7.43,6.13,0,0.85,0.96,0,0,0,6.73,0,1.37
120,0,0,0,18.57,0,0,0,0,9.1,17.55,2.73,0,0,0,0,0,9.61,1.15,0,2.24,55.14,0,0,0,0,0,8.5,0,1.86,0,0,0,12.29,4.8,0,3.17
