stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,66.84,957.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.04,0,0,0,0,0,0
  5-6,52.37,425.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.54,0,0,0,0,6.92,0,0,0,0,0,0
  7-9,0,0,0,8.67,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.73,0,0,0,31.01,17.21,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.5,0,0,0,8.7,4.49,0,0,0,0,0,0
 14-21,0,0,0,5.19,12.12,0,0,0.99,0,0,0,0,3.98,0,0,2.93,0,1.11,0,0,0,0,0,0,8.32,0,7.17,21.58,0,184.99,0,0.99,0,0,0,0
 24-34,0,0,1.1,2.86,14.82,0,0,2.52,0,0,0,0,5.19,0,0,4.98,0,15.46,3.83,0,0,3.29,0,1.6,24.98,0.99,4.87,23.62,0,505.55,0.97,5.99,0,0,0.71,0
 36-46,0,0,0,0,5.29,0,0,0.81,0,0,0,0.96,4.23,0,0,0.62,0,3.11,1.37,0.7,1.65,0.58,0,0.91,29.01,0,10.15,10.1,0,624.08,8.77,3.16,0,0,3.72,0
 48-58,0,0,0,0,8.25,0,0,7,0,2.92,0,0.56,8.8,6.69,0,0.75,0,9.24,4.43,0,1.62,3.94,0,3.1,25.96,0,3.46,8.65,0,392.27,0,5.51,0,0,0,0
 60-70,0,0,0,0,7.34,0,0,16.83,0,1.25,0.84,0,19.98,0,0,4.13,0,6.29,10.33,9.95,3.26,0.79,0,0,36.65,0,4.81,28.42,0,349.87,3.95,3.52,0.61,0,0,0
 72-82,0,0,2.22,0,16.5,1.39,0,12.48,0,0.58,0.56,1,17.44,2.72,0,3.31,0,3.92,1.08,7.54,5.74,10.08,0,2.74,39.52,0,2.06,11.94,0,244.25,0.66,2.48,3.08,0,0,2.9
 84-94,0,0,4.17,0,50.69,0,0,11.3,0,4.22,0,3.24,15.56,6.34,0,13.61,0,4.94,1.49,0,4.84,12.94,0,0,7.31,0,6.19,20.94,0,648.9,0.6,0,0.66,2.06,0,0
 96-106,0,0,2.57,1.75,111.26,0,0,10.07,0,8.7,4.1,1.29,30.13,0,0.58,13.63,0.66,10.46,1.3,0,10.27,9.67,0,0.9,47.68,0,13.75,26.64,0,690.14,1.43,0,9.22,0,0,0
108-118,0,0,1.22,0,77.76,0,0.45,6.43,0.76,6.92,0.59,0,34.18,0,0.48,16.33,0,8.38,0.42,0,5.5,19.15,1.98,0,31.27,0,5.76,23.43,0,525.31,0.43,0,11.65,0,1.3,0
120,0,0,0,0,119.79,0,0,4.37,0,11.57,0,0,53.68,0,0,26.13,0,6.38,3.42,0,4.47,16.8,0,2.92,29.66,0,4.54,16.61,0,473.44,1.13,0,1.27,0,2.15,0
