stage,epidermis,eye,glial,heart,neural,periderm,vasculature,xanthophores
 24-34,0,0.63,0.65,0,0.8,0,0,0
 36-46,0,0,0,0,0.71,2.57,2.35,7.75
 48-58,0,0.55,0.72,0,0,0,0,0
 60-70,0,1.38,0,0,8.42,0,0,0
 72-82,0,0,0,1.12,0,0,0,0
 84-94,0,2.38,0,0,0,2.49,0,0
 96-106,0,0,0,0,8.41,0.72,0,0
108-118,0,0,0,0,0,0.89,0,0
120,1.27,0,0,0,8.22,1.66,4.4,0
