stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,21.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,132.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.58,0,0,3.45,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,94.89,0,0,24.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,44.28,0,0,0,3.98,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.84,0,0,0,3.78,0,1.22,0,0,0.93,0,0,0,0,0,12.92,0,2.79,17.66,0,0,0,0,0,0,0,4.87,2.56,0,0,0,0,0,0
 24-34,0,0,0,0,3,0,11.09,0.88,15.91,0,42.44,0,0,1.13,0,0,0,0,0,26.47,0,29.12,91.64,8.2,0.94,0,0,0.73,3.08,0,6.1,17.05,1.1,0,0,0.68,0,0.75
 36-46,0,0,0,0,0.66,0,46.82,19.98,6.58,0.62,40.41,0,0,0,0,0,0,0.56,0,99.78,0,31.26,109.59,48.52,0,0,0,7.89,0,0,14.87,0,5.09,0,0,0,0,1.51
 48-58,0,0,0,0,0,0,65.18,5,18.3,8.82,34.57,0,0,0,0.47,0,0,2.64,1.4,132.21,0,16.23,109.28,33.66,0,0,0,0,0,0,13.02,0,6.88,0,0,1.09,0,0
 60-70,0,0,0,0,0.72,0.62,83.68,9.12,2.14,22.71,20.47,0,0,0,0,0,2.5,0,9.89,256.29,0,11.03,41.33,39.36,0,0,0.96,0,0,0,5.31,0,4.9,0,0,0,0,7.72
 72-82,0,0,0,0,3,0,104.85,5.16,0,22.42,13.72,1.33,0,0,0,1.65,0,2.91,1.95,439.55,0,15.54,65.97,7.1,0.61,0,0,0,0,0,3.79,0,16.63,0,0,1.32,0.49,0.55
 84-94,0,0,0,0,6.12,0,123.47,17.86,0,15.79,3.02,1.44,0,3.68,0,2.68,0,0,6.93,470.24,0,10.39,72.76,33.53,0,0,0,0,0,0,18.62,0,21.64,0,1.47,0,0,5.19
 96-106,0,0,0.61,0,6.08,0,104.46,11.32,1.14,28.41,23.8,3.53,0,0,2.38,1.77,1.98,0,6.26,346.73,1.67,17.31,67,9.55,5.78,1.2,0,9.11,0,0,7.16,0,2,0,1.08,0.82,6.42,15.48
108-118,0,0,0,0,4.48,0,112.01,15.49,9.74,40.38,36.85,4.95,0,0,0.44,4.73,2.12,0.85,3.01,374.03,2.19,13.56,60.18,28.32,3.16,0,0,0.47,0,0,12.77,0,7.49,5.55,0,0,2.91,1.11
120,0,0,0,0,7.36,0,35.12,43.96,7.81,42.45,2.7,10.92,0,0,2.83,0,0,0,0,486.05,0,20.11,78.05,40.57,2.92,0,0,0,0,0,2.07,0,0,1.65,0,0,0,0
