stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,34.84,3.44,0,4.89,0,0,0,1.28,0,0,0,0,0,0,0,0.86,12.36,0,0,4.47,52.57,0.93,0,0.94,1.12,0,7.23,0,0.81,0,0,9.32,15.06,0,1.97,0,0
 24-34,0,15.65,0,0,2.86,0,0.64,0,0.87,0,0,0,0.62,1.95,0,0.63,1.79,3.35,0,0,2.63,105.23,0,1.56,0.62,0,0,0,0,0,1.84,0.88,0,16.01,0,5.19,0,0
 36-46,0,4.66,1.9,0,19.33,0,0,1.45,2.2,0,0,0,12.08,0,1.36,0,0.89,7.89,0,1.94,4.43,128.84,0.55,5.05,1.03,0,0,3.75,0,0,0,0,0,41.32,0,0.71,0,0
 48-58,0,5.99,0,0,38.33,0,0.77,0.8,6.06,0,0,0,0.37,0,0,0.51,0,13.07,0.56,0.4,0.96,179.51,0,0.47,1.01,0,0,0.93,0.56,0,0,0,0,28.77,0,0,0,0
 60-70,0,0.57,6.83,0,94.13,0,1.19,1.99,12.9,0,2,0,0.98,0,0,0,0,9.25,0,0,0.6,161.21,0,2.07,2.14,0,0,0.57,0,0,0,0,0,28.18,1.58,7.09,0,0
 72-82,0,1.92,8.77,0,121.98,0,0.55,0,16.55,1.32,0,0.51,1.24,2.33,0,0,0,17.15,0,0,0,147.2,0,0,0,0,4.65,0,0,0,0,0,0,13.1,2.15,2.06,0,0
 84-94,0,7.89,3.38,0,132.19,0,2.48,3.08,10.94,3.61,0,0.97,4.06,1.39,0.86,1.72,0,24.88,2.28,0,0.77,115.53,0,0,0.79,0,0.57,1.59,0,0,0,0,0,24.75,0.74,1.83,0,3.41
 96-106,1.1,7.32,8.05,0,58.52,0.78,0.59,0,16.21,3.14,0,2.94,6.36,0,0,0,0,19.8,0,5.18,0,105.11,0,4.93,2.08,0,6.22,10.47,0,0,0,0,0,3.72,0,2.34,5.54,0
108-118,0,10.06,1.2,0.57,77.66,0.69,1.92,1.52,5.16,0.62,0,0,1.22,0.55,0.51,2.17,0,26.08,3.95,0,1.36,109.22,0,1.89,1.35,0,1,3.16,0,0,0,0,0,4.19,0.53,2.32,0,0
120,0,8.76,2.93,0,20.87,0,3.94,0,17.38,0,0,0,6.24,2.73,0,0,0,23.58,0,0,6.03,96.61,0,0,11.98,0,0,1.97,0,0,0,0,0,13.59,0,8.27,0,0
