stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,31.78,1385.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.02,0,0,0,0,0,0
  5-6,75.71,1290.88,13.2,0,0,0,0,0,0,31.74,0,0,0,0,0,0,50.31,0,0,0,11.61,22.62,0,0,0,0,0,0
  7-9,3.63,41.04,54.76,0,0,0,5.66,0,0,44.81,0,0,0,0,0,0,839.51,0,0,0,231.56,0,0,0,0,0,0,0
 10-12,0,23.6,12.45,0,0,0,32.01,0,0,0,0,0,0,0,0,0,401.38,3.27,0,0,80.47,0,0,0,0,0,0,0
 14-21,0,0,0,1.97,0,0,23.79,0,0,0,0,0,0,0,0,0,34.96,157.77,0,0,0,1,4.53,0,3.94,6.68,6.58,0
 24-34,0,0,0,2.74,0,0,51.17,0,0,0,0,0,0,0,0,0,83.52,134.84,0.69,0,0,5.84,0,0,0,0.77,7.16,0.76
 36-46,0,0,0,2.61,0,0,13.81,0,0,0,3.18,0,0,52.11,0,0,29.43,127.8,0,0,0,1.35,0,0,0,0,2.23,0
 48-58,0,0,0,0,0,0,19.42,3.44,0,0,8.84,0,0,239.41,0,0,33.54,141.13,0,0,0,0,0,0,0,0,5.41,0
 60-70,0,0,0,0,0,0,7.3,0.87,0,0,12.09,0,0,160.35,0,0.81,15.67,149.51,0,0,0,0,0,0.59,0,0,1.29,0
 72-82,0,0,0,0,0,0,9.09,1.53,9.47,0,12.31,0,0,271.37,0,0.74,22.37,88.67,0,0,0,3.87,0,0,0,0,22.78,0
 84-94,0,0,0,0,0,0,5.46,2.49,0.63,0,60.61,0.65,0,296.61,0,0,12.12,155.5,0,0,0,0.86,0,0.92,0,0,24.02,1.33
 96-106,0,0,0,4.42,2.58,0.92,13.15,10.45,2.83,0,30.37,0,0,188.91,0,0,15.97,127.99,0,0,0,1.11,0,0,0,0,3.05,0
108-118,3.02,0,0,1.32,3.71,0,2.31,4.74,3.59,0,21.49,7.42,0,139.9,0,0.5,17.98,147.83,0,0,0,0,0,0,0,0,0,0
120,4.73,0,0,0,0,0,11.99,0,5.57,0,32.99,0,1.42,204.54,6.27,1.03,16.32,276.03,0,17.15,0,0,0,0,0,0,2.39,0
