stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,176.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.67,0,0,0,0,0,0,0,0,0
  5-6,21.6,177.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.97,0,0,0,0,0,0,0,0,0
  7-9,0,4.45,9.48,0,0,0,20.85,0,0,0,0,0,0,0,0,0,0,0,132.54,0,0,0,20.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,12.88,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,183.67,0,0,0,33.95,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.46,0,0,0.8,0,0,2.03,0,0,0,0,1.73,0,0,2.86,130.32,1.03,0,1.97,0,1.52,0,2.96,4.03,48.18,0,0,0,0,0
 24-34,0,0,0,2.11,0,0,8.53,1.18,1.67,9.71,0,2.15,0,0,14.48,0,2.43,2.08,891.7,0.6,0,0,0,1.26,0,0,0.68,177.26,0,0,0,0,0
 36-46,0,0,0,1.88,0,0,6.2,0,0,44.34,0,0,0,0,25.61,0,0,10.76,2103.44,1.12,0.57,0,0,1.49,0,0,0,377.01,0,0,0,0,0
 48-58,0,0,0,6.52,0.45,0,77.04,5.16,0,82.89,0,0,0,0,28.98,0.59,0,3.14,2139.88,3.94,0,0,0,9.49,0,0,0,512.54,0,0,0,0,0
 60-70,0,0,0,2.31,4.68,0,110.52,3.13,0,65.4,4.12,0.84,4.6,0,37.11,0,0,0.67,1735.95,0,1.19,0,0,3.67,0,0,0,453.84,0,0.79,9.06,0,12.3
 72-82,0,0,0,1.97,0.5,0,84.77,0,0.93,39.35,0,0,0.59,0,65.37,0,1.53,2.09,795.56,0,0,1.86,0,1.72,1.65,0,0,212.69,1.21,0,2.3,0.56,0
 84-94,0,0,0,2.54,0,0,95.53,0,0.65,17.98,0,0,1.93,0,27.18,0,1.32,1.3,522.97,0,0,0,0,0.73,0,0,0,160.45,0,0,2.27,0.75,0
 96-106,0,0,0,17.14,0,0,71.78,0,0,17.33,0,0,1.52,1.07,30.44,0,1.14,0.65,373.59,0,0,2.37,0,0.76,0,0,0,50.71,0,0,0,0,8.43
108-118,0,0,0,3.33,0,1,71.23,0,0,43.1,0,0,2.07,0,47.08,0,0,0.59,460.62,0,0,0,0,0.41,0,0,0,34.46,0,0,0,0,0
120,0,0,0,7.38,0,0,51.49,0,23.42,185.16,0,0,0,0,21.69,0,8.42,5.1,658.28,0,0,0,0,0,0,0,0,122.75,3.81,0,1.1,9,0
