stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,76.2,848.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.72,657.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,7.11,7.41,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.22,28.14,0,16.54,0,0,0,53.95,0,0,0,0,0,37.18,0,0,0,0,0,0,0,0,0,0,455.05,25.35,0,0,108.06,0,9.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.06,0,32.6,0,0,0,67.72,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,429.96,13.83,0,0,179.67,0,3.78,11.29,15.46,0,4.93,0,0,0,0,0,0
 14-21,0,0,0,1.33,9.85,5.12,0,5.18,0,0,0,0,0,0.91,0.81,0,0,0,0,0,0,11.47,0,1.82,72.74,2.22,0,1.97,1.2,0.95,0,10.94,1.76,0,11.36,41.51,0,0,0,0,0
 24-34,0,0,0,0,5.76,0,0,13.65,0,0.93,0,6.52,0,0,0,0,0.64,0,1.21,0.76,1.22,17.9,0,2.05,170.29,0,4.77,0.73,0,8.16,0,0,0,1.69,2.19,37.6,0,0,11.79,0,6.98
 36-46,0,0,0,0,0.64,1.2,0,16.61,0,0,1.31,6.53,0,0,0,1.76,0,0,0,0,0,19.16,0,2.8,148.91,1.24,0,0,0,1.98,0,0,0,1.16,0,44.61,0,0,2.32,0,2.51
 48-58,0,0,0,0,4.12,0,0,71.88,0.78,0,0,19.98,0,0,0,0,0,0.51,0,0,0,29.24,2.17,1.36,165.85,0,0,9.21,0,1.04,0,0,0,0,0,34.98,0,0,1.51,0,0
 60-70,0,0,0,0,0,1.07,0,52.02,0,1.56,0,10.53,0.58,0,0.7,2.29,0,0,0,0,3.31,19.98,0.71,5.93,101.9,0,0,7.11,0,5.77,0,0,0,0,0,19.02,0,0,0,0,0
 72-82,0,0,0,0,2.59,3.04,0,101.27,0,0,2.59,14.91,0.54,0,0,1.71,0,0.64,0.74,0,0,25.67,1.98,1.12,152.61,0,1.31,1.27,0,0,0,0,0,0,0,8.57,0,3.6,3.47,1.27,9.26
 84-94,0,0,0,0,6.48,1.42,0,79.78,0,0,0.82,11.71,0,0,0,3.31,0,1.31,0.59,0,0,18.88,1.22,1.93,71.6,0,0,2.2,0,18.29,0,0,0.94,0,0,45.87,0,1.59,6.34,0.89,0
 96-106,0,0,0,0,4.41,9.35,0,45.64,0,0.66,0,9.7,3.33,0,0,4.77,0.85,0,0.88,1.13,0,35.03,0,5.22,56.18,0,1.9,1.77,0,8.11,0,0,0,0,0,0,0.67,0,9.28,3.3,1.21
108-118,0,0,0,0,4.59,4.2,1.13,56.42,0,0.53,0.43,5.34,0,0,2.35,0.96,6,0,0,3.18,0.9,28.76,1.21,4.77,91.09,0.69,0,2.7,0,10.24,0,0,0.84,0,0,4.39,0,0,0.56,0,1.18
120,0,0,4.41,0,6.24,2.65,0,27.68,0,4.94,1.26,0,0,0,0,8.07,0,1.43,0,0,0,17.04,0,8.67,108.75,0,0,4.43,0,25.11,0,0,0,0,0,14.26,0,0,34.58,0,3.14
