stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,256,6123.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.62,0,0,0,0,0,0,0,0,0,0
  5-6,159.93,1561.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.16,0,0,0,13.83,0,25.82,0,0,0,0,0,0,0,0,0,0
  7-9,26.93,0,0,3.74,0,0,0,33.46,0,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,236.94,4.91,0,0,97.09,0,0,29.7,0,0,0,0,0,0,0,0,0
 10-12,3.8,22.06,0,30.52,0,13.49,0,45.6,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,498.22,30,0,0,87.66,0,0,23.84,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,1.66,51.22,9.06,0,8.31,0,2.62,0,1.64,2.23,0,5.09,0.85,6.76,0,0,0,0.88,19.52,0,0,12.86,156.95,8.37,4.11,6.66,2.34,0,6.86,0,9.12,2.93,13.21,27.76,0,0,0,0,0.96
 24-34,0,0,2.55,1.7,19.59,0.6,0,37.46,0,5.04,0.99,5.25,1.41,0.67,0.68,5.66,18.67,1.56,0.97,8.01,2.8,59.9,2.82,0,19.72,348.06,10.1,28.58,5.94,0,0.99,25.61,0,0,2.02,1.38,54.99,0,0,8.17,0,2.7
 36-46,0,0,0,0,8,0,0,82.25,0,3.21,2.16,48.24,1.89,0,0,17.73,13.37,0.56,4.75,0,3.14,90.41,0.65,2.4,18.01,322.04,2.77,20.45,1.63,0,0.97,31.13,0,0,0,0,56.19,0,0,3.01,0.78,11.09
 48-58,0,0,0,0,16.83,0,0,123.95,0.38,2.74,3.23,52.02,0.46,0,0.92,16.26,5,2.16,4.24,0,11.05,69.22,1.88,2.07,14.6,289.39,1.71,13.59,3.17,0,1.32,30.51,0,0,5.73,0,55.72,0,0.91,4.64,0,14
 60-70,0,0,0.86,0,31.4,0.62,0,187.8,0.66,3.19,2.72,77,1.49,0,0.77,21.83,2.63,6.59,1.46,0,10.22,106.44,2.71,3.39,5.71,211.33,4.1,20.84,7.7,0,0,11.03,0,0,0.67,0,28.52,0,4.47,10.97,5.24,21.3
 72-82,0,0,2.62,0,10.47,0.66,0,128.05,2.66,4.19,2.16,62.69,6.42,0,1.04,20.29,5.75,1.57,7.17,0.99,1.69,146.67,1.62,10.13,12.08,264.56,0,25.43,9.38,0,0,17.14,0,0,2.63,0,18.06,1.56,0.9,11.54,6.55,10.48
 84-94,0,0,4.78,0,36.88,1.52,1.06,126.82,0,4.31,7.3,59.6,8.83,0.86,0,38.28,7.35,2.93,2.33,1.95,4.04,76.14,12.34,5.43,5.77,175.29,0.72,14.57,13.99,0,1.49,55.76,0,0,2.06,0,8.86,9.91,4.2,2.04,1.45,3.62
 96-106,0,0,0.87,0,23.87,4.18,0,90.79,4.66,4.69,1.11,72.93,10.77,0,0.99,31.31,7.66,0.72,7.03,16.22,2.19,70.99,7.83,4.7,8.98,149.38,2.78,27.11,15.36,0,0,55.95,0,0,1.27,0,4.86,11.84,1.21,7.39,7.05,13.38
108-118,0,0,6.26,0,21.27,2.35,0,96.64,3.05,5.19,6.32,71.78,22.79,0,1.32,32.24,6.26,14.99,4.9,2.28,1.14,97.26,4.93,0,4.17,229.91,2.28,28.06,18.44,0,7.38,41.35,0,0,5.71,0,3.99,9.61,2.26,1.21,0.99,3.18
120,0,0,0,0,12.75,7.08,0,67.02,4,1.23,3.03,30.05,6.08,0,0,80.48,1.48,2.67,7.68,22.78,0,77.14,0,13.86,2.4,252.09,1.03,21.48,7.96,0,0,32.59,0,0,0,0,3.82,12.35,1.56,9.87,0,0
