stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.61,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,11.45,0,16.22,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.92,0,0,9.1,0,0,0,1.01,0,0,0,0,0,0,0,0.89
 24-34,0,0,0,0,0,0.75,5.57,0,0,0,0,0,0,63.32,2.67,0.62,0,2.15,0,0,0,0.67,0,0,0,0
 36-46,0,0,0,0,0,1.92,12.51,0,0,0.82,0,15.72,0,119.05,0,0,0,7.52,0,0,0,0.72,0,0,0,0
 48-58,0,0,0,0,0.48,4.92,5.31,0,0,0,0,8.96,0,96.51,0.4,0,0.47,6.68,0,0,0,4.25,0,3.15,0,0
 60-70,0,0,0,0,0.68,12.51,0,0,0,0,0,23.72,0,55.31,0,0,0,12.88,0,0,0,1.67,0,0,0,0
 72-82,0,0,0,0,15.15,1.38,0.69,0,0,0,0,9.45,0,90.06,0.59,0,0,13.69,0,0,0,8.19,0,0.66,1.5,0
 84-94,0,0.56,0,1.12,5.52,2.34,0,0,0,0,0,28.24,0,108.63,1.91,0,0,11.22,0,0,2.88,7.55,0,0,2.71,0
 96-106,0,1.23,0,0,8.33,4.7,5.04,0,0,0,0,18.71,0,78.46,0,0,0,10.75,0.57,0,0,0,0,0,0,0
108-118,0,1.03,0,0,4.77,0,3.07,0.61,0,0,2.47,42.12,0,154.32,9.05,0,0,14.98,0,0,1.44,3.12,0,0,0.72,0
120,0,0,0,0,9.99,11.57,1.78,0,0,0,0,55.1,1.74,65.38,31.46,0,0,0,0,0,0,0,1.81,0,0,0
