stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.4,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0.95,0
 48-58,0,0,0,23.47,0,0,0,0,0,4.78,0,0,0,0,0,0.66,0,0,0
 60-70,0,3.21,0,265.93,0,0,1,0.81,0,19.87,0,0,0,0,0,3.15,0,0,6.14
 72-82,0,2.12,1.21,329.69,0,4.35,0.82,0.72,0,3.36,0,0,5.13,0,0,0,0,0,0
 84-94,0,0,0,327.67,0,2.38,0,1.83,0.79,3.48,0.62,0,0.68,0.57,0,0,0,0,0
 96-106,0,0,0,226.99,1.12,1.42,0,2.25,0,6.72,0,1.71,0,0.56,0,0,0,0,0
108-118,0,2.91,0,194.84,0,2.72,0,2.8,0,21.01,0,0,0,1.34,0,0,0.67,0.5,0
120,0,0,0,306.7,0,6.49,0,4.52,0,21.89,0,0,0,0,0,0,0,0,0
