stage,axial,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.24,0,14.14,0,14.65,0,0,0,0,0,0,0,0,0,0,75.18,0,0,0,25.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.37,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,8.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,4.99,0,0,0,0,1.14,25.95,0,0,14.62,0,1.34,19.47,1.01,0,0,0,0,10.37,0,40.19,6.52,0,0,0,0
 24-34,0,0,2.5,10.3,2.74,0,0.78,0,0,13.62,0,0,2.74,0,6.35,62.67,0,1.55,0,0,2.79,0,0,124.84,12.24,0,0,0,7.36
 36-46,0,0,0,1.9,2.71,1.74,0,1.36,0,13.42,0,0,3.67,0,0,39.23,2.93,0,0,0,0,0,0,144.73,9.1,0,0,0.56,0
 48-58,0,0,0,0,8.95,2.39,0,0.42,0.49,14.13,0,0,8.94,0,1.96,42.33,0,0,0,4.77,0.59,0,0,84.46,3.7,0,0,0,0
 60-70,0,0,0,1.26,16.28,5.03,0,3.77,0,15.53,0,0,1.5,0,2.06,23.15,0,0,0,0,0,0,0,53.67,4.46,0,0.59,0,0
 72-82,0,0,0,0.84,8.17,1.03,0,5.36,0,6.07,0,0,9.7,0,2.8,18.16,0,1.03,1.32,0,0,0,0,11.99,3.18,0,0,1.02,0
 84-94,0,0,0,0,1.25,9.19,0,3.29,0,4.63,0,0,4.07,0,0.78,8.73,0,0,0.67,0,0,0,1.93,27.32,12.19,0,0,3.77,0
 96-106,0,0,0,2.77,0.96,12.88,0,1.4,0,3.8,2.44,0,1.61,0,6.94,28.11,0,0.97,0,0,4.78,0,0,22.98,13.51,0.58,0,1.37,2.49
108-118,0,0.58,0,0.57,3.15,20.98,0,0,3.8,5.85,0,1.18,4.43,0.66,12.61,19.04,0,0,2.26,0,1.62,0,0,22.44,4.41,0,0,1.58,0
120,0,0,0,0,0,15.06,0,0,0,0,0,0,1.58,0,0,18.54,0,0,0,0,0,0,0,10.09,0,0,0,0,0
