stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,146.29,2411.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.2,0,0,0,0,0,0,0,0,0,0,0
  5-6,152.65,2363.97,0,0,0,0,0,0,0,0,0,39.72,0,0,0,0,0,0,0,0,0,0,0,51.47,0,0,0,52.84,0,35.16,0,0,0,0,0,0,0,0,0,0,0
  7-9,69.67,38.55,0,59.05,0,0,140.59,0,0,0,0,39.25,0,0,0,0,0,0,0,0,0,0,0,945.03,50.38,0,0,306.68,0,0,35.65,0,9.82,0,0,0,0,0,0,0,0
 10-12,4.89,45.21,0,36.34,0,4.44,74.86,0,0,0,0,21.34,0,0,0,0,0,0,0,0,0,0,0,866.29,28.54,0,0,352.75,0,0,0,0,50.54,0,6.54,0,0,0,0,0,0
 14-21,0,0,0,2.86,28,8.72,6.47,0,0,6.05,0.82,0,0,0,0,0,0,0,0,12.11,0,0,15.12,179.03,0,1,0.88,5.25,0,0.86,1.12,31.32,2.76,2.97,16.45,64.42,0,0,6.01,0,0
 24-34,0,0,0,0,14.26,1.22,35.88,1.57,0,4.43,0,0,2.02,0,1.97,0.99,2.81,0,0,27.26,0,0,17.1,482.03,1.27,2.48,5.73,0,0,8.67,0.98,0,0.76,0,5.14,101.01,0,0,16.17,0,0
 36-46,0,0,0,0,8.2,0,124.56,0,4.3,36.74,0,0,0.69,6.17,0.61,0,0,0,0.7,59.07,0,0,18.18,471.64,0.72,4.52,2.22,0,0,26.46,0,0,3.76,0,0,135.52,0,0,13.96,0,6.71
 48-58,0,0,0,0,11.57,0,140.71,0.44,2.3,45.82,0.39,0,0.45,0.39,0,4.75,0.42,1.66,0,56.22,0.63,1.3,7.54,221.06,0.42,0.43,1.9,0,0,14.62,0,0,0,0,0,77.13,0,0.79,6.73,0,11.87
 60-70,0,0,0,0,7.95,5.7,190.62,3.06,1.47,38.61,1.05,0,0.6,1.79,0,0,1.26,1.49,0,87.28,6.53,1.4,5.59,254.03,4.18,2.2,0.9,0,0,12.29,0,0,0.62,1.33,0,42.13,0,0.83,3.26,0.59,8.04
 72-82,0,0,1.5,0,9.07,16.36,101.81,1.08,5.11,37.96,0.51,0,0.86,3.61,0,0,0.86,0,2.16,65,0.88,4.08,6.47,149.08,0,1.37,1.52,0,0,14.62,0,0,1.58,0,0,22.27,1.48,1.71,15.01,1.2,0.55
 84-94,0,0,1.19,0,7.28,1.32,73.65,0.55,6.22,30.63,6.07,0,3.03,11.37,0,1.03,0,3.43,4.18,65.22,0,10.94,6.91,100.92,2.17,2.68,0,0,0,20.52,0,0,0,0,0,11.4,0.78,2.69,10.57,2.86,0.64
 96-106,0,0,0.63,0,7.1,43.63,32.61,0.64,1.48,28.78,1.86,0,1.52,6.25,0.63,2.1,0.92,0.63,6.59,83.55,1.67,1.41,5.9,123.25,2.16,0,1.1,0,0.83,29.68,0.7,0,0,0,0,13.47,0.61,2.38,15.54,0,1.88
108-118,0,0,0,0,9.1,9.45,52.01,3.87,7.78,28.89,1.9,0,0,4.35,2.27,0.78,0.43,1.56,0,73.68,5.37,10.06,5.19,78.94,0.41,0,4,0,0,29.42,0,0,0,0,0,1.86,4.75,0,12.65,2.72,3.4
120,0,0,0,0,15.13,21.69,34.51,0,0,52.51,6.19,0,2.95,11.86,6.49,0,0,0,0,39.09,0,3.86,4.65,130.18,7,0,15.97,0,0,23.19,0,0,0,0,0,5.07,0,2.93,21.27,4.22,0
