stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.98,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.86,0,0,47.16,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,1.06,75.24,0,1.87,0,1,0,0,0,0,2.97,0,0,0,0
 36-46,0,0.89,0,0,444.64,0,0,0,3.23,0,0,0.84,0,0,0,0,0,1.48,0,0,56.34,0,3.18,1.54,0,0,2.84,0,0,1.49,0,1.58,0,1.47
 48-58,0,4.05,0,0,2832.13,0,1.75,1.23,25.84,0,0,0,2.18,0,12.79,0,0,9.31,1.42,5.01,191.1,0,0.71,1.27,0,0,0.37,0,0,12.33,0,2.64,0,4.33
 60-70,0.62,11.57,0,0,4158.5,0.66,0.89,21.33,33.12,0.63,0,0,4.77,0,0,0.64,0,20.06,0,0,91.45,2.19,0.89,5.2,0,0,0,0.73,0,10.19,0,0,0,11.56
 72-82,0,12.53,0,0,3602.37,7.1,0,0,40.03,0,0,0,0,0,0,0,0,16.09,0,0,121.69,0,0,0.57,0,0,0,4.52,0,5.58,1.26,3.67,0,0
 84-94,1.15,28.89,6.31,0,2402.95,0,1.72,0,28.58,2.46,0.66,0,2.18,0,0.93,0,1.05,8.87,5.87,2.2,84.64,0,0.95,0,0,0,5.81,0,0,6.92,0.84,0,1.72,3.54
 96-106,0,16.13,1.39,0,2089.29,0,0.68,0,31.58,0,0,0.71,1.51,0,0,0.84,0,19.15,0,2.75,43.64,0,0,4.47,0,0.81,3.1,0,0.71,6.79,1.87,1.14,0,0
108-118,0,17.84,1.41,0,2374.63,0,0,0,47.98,1.44,0,0,0,0.51,0,0,0,14.92,0,0,117.58,1.12,0,0,0,0,0.79,0,0,0,0,0.54,2.62,0
120,0,3.86,0,22.16,1716.39,0,0,2.81,83.47,0,0,0,0,0,0,0,0,30.99,0,0,62.88,0,0,0,0,0,25.85,0,0,12.52,0,0,0,0
