stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,192.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.03,640.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,18.98,0,0,0,0,0,0,0,0
  7-9,9.48,25.27,0,15.42,0,0,0,53.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.45,13.41,0,0,140.05,12.92,0,0,0,0,0,0,0,0
 10-12,0,3.5,0,11.04,0,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.95,18.79,0,0,101.45,3.3,0,7.03,0,0,0,0,0,0
 14-21,0,0,0,0,29.27,3.25,0,10.91,0,0,0,1.1,3.21,2.19,0,0,0,0,0,5.91,0,0,4.92,81.53,0,0,2.54,1.86,2.48,22.58,1.71,0,25.83,27.62,0,2.71,0
 24-34,0,0,1.1,0.76,4.28,0,0,6.39,0,0,0.64,0.61,0,0,0,0,0,1.01,0,5.49,2.72,0,3.48,65.27,0.6,2.55,0,0,8.45,0,0,0,1.54,27.21,0,3.73,0
 36-46,0,0,0,0,4.85,0,0,9.05,0,0,0,2.58,0.57,0,0,0.66,0,0.57,28.68,5.94,0,0,1.62,36.58,0,1.39,0.57,0,25.7,0,0,0.58,0,17.38,0,1.39,0
 48-58,0,0,0,0,0,1.79,0,21.35,0,0,6.98,10.76,0.39,0,0,0.55,0,0.58,0,3.45,0,0,0,79.57,0,0,0.39,0,2.34,0,0,0,0,3.74,0,3.68,0
 60-70,0,0,0,0,3.89,0,0,65.89,0,0,0,0.74,1.6,0,0,0.86,0,0,0,5.62,0,0,1.88,74.29,0,1.27,2.01,0,3.08,0,0.68,0,0,8.55,0,1.46,0
 72-82,0,0,0.56,0,4.21,0.9,0,274.76,0,0,0,5.16,1.01,0,0,0,0,0,0,5.64,0,0,0,76.15,0,0.59,1.04,0,1.46,0,0,0,0,8.19,0,2.18,0.96
 84-94,0,0,0,0,6.77,0,0,262.2,0,0,0,4.32,0.6,0,0,1.21,0,2.35,0.57,8.18,0,0.66,4.44,60.44,0,0,1.52,0,10.54,0,1.97,0,0,9.94,0,3.01,0
 96-106,0,0,2.33,0,3.08,9.78,0,392.85,0.89,0.57,0,6.87,3.28,0,0,0.74,0.66,1.28,11.9,7.73,0,0,0,78.16,0,2.6,2.69,0,21.4,0,0.57,0,0,5.8,0,5.37,0
108-118,0,0,1.18,0.74,2.17,0,7.55,398.24,0,0,0.65,1.32,3.32,0,1.39,0.87,0,0,0.67,8.08,0.5,0,0,63.68,0,0.52,1.68,0,4.03,0,0.66,0,0,17.92,0.48,0.55,0
120,0,0,0,0,1.09,0,0,214.85,0,0,5.01,14.82,0,0,0,0,0,0,4.47,8.18,0,0,0,31.92,0,0,3.81,0,0,0,0,0,0,0,0,0,0
