stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,38.74,0,0,0,5.62,0,0,0,0,0
 14-21,0,13.11,0.88,0,0,0,0,0,0,0,0,5.96,0,0,1.09,0,0,0,0,0,0
 24-34,0,12.63,0,0.68,0,2.8,0,0.6,0,0,0,7.56,0.6,1.47,5.19,0,0,0,0,0,0
 36-46,0,2.28,1.41,0,0,0,9.04,0,0.77,0,0,6.1,0,0.68,5.68,0,0,2.74,0,0,0
 48-58,0,16.92,27.83,0,0,0,0,0.4,7.18,0,0,6.45,0,0,0,0,0,1.25,0,0,0
 60-70,0,10.46,136.6,0,0,0,0,2.32,3.64,1.91,0,9.52,0,0,15.5,0,0,0,0,0,3.3
 72-82,0.5,4.59,134.52,0,0,0,0,0.86,0,0,0,21.08,0,0.5,16.16,0,0,2.81,0.95,0,0
 84-94,0,6.3,88.2,0,0,1.01,0,0,4.4,0,0.72,22.21,0,0.6,12.48,0,0.66,4.69,0,0,2.12
 96-106,0,5.54,33.07,0.59,1.77,0,0,0,0,0,2.47,7.04,0,0,24.51,0,0,0,0,0,0
108-118,0,9.14,83.92,1.53,1.34,0,0.45,1.5,0,0,0,12.97,0.41,0.72,14.4,0,0,0,3.16,0.41,0
120,0,15.99,31.66,1.55,18.73,0,6.91,0,1.15,0,0,16.66,0,0,29.16,0,0,0,7.52,0,0
