stage,blastomeres,epidermis,eye,glial,lateral_line,mesenchyme,neural,slow_muscle,spinal_cord,visceral_smooth_muscle
  5-6,7.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.01,0,0,0
 24-34,0,0,0,0,0,0,3.41,0.61,2.34,0
 36-46,0,0,1.53,0,0,0.66,0,0,1.29,0
 48-58,0,1.37,0,0,0,0,2.95,0,0.95,0
 60-70,0,0,0,0.67,0,1.58,15.99,0,0,0
 72-82,0,0,14.46,3.43,0,2.97,18.92,0,1.88,0
 84-94,0,0.65,0,1.9,0,0,18.33,0,0,0
 96-106,0,0,24.58,3.31,0,0,22.68,0,2.92,0
108-118,0,0,11.86,8.03,1.36,1.63,7.51,0,0,1.8
120,0,0,1.43,0,0,16.09,22.77,0,0,0
