stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,202.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,0,0,0,0,0,0,0,0,0
  5-6,116.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.99,0,0,0,23.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.59,17.21,0,0,16.09,0,0,5.55,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.85,1.04,0,0,0,0,0,1.65,1.05,0,0.85,0,0,0,0,0.97,0,5.49,0,0,1.91,25.54,0.94,0,0,0.94,0,0.99,0.91,0,0,2.82,27.17,0,0,2.47,0,0
 24-34,0,0,0,3.03,7.16,0,2.96,0,0,0.74,1.48,0,0,0.6,0,0.72,0,0,0,0.7,2.95,0,0,0.64,136.51,0.68,9.15,0,0,0,0,0,3.09,0,0,36.3,0,0,4.53,0,0
 36-46,0,0,0,0,0,0,11.73,0,0,1.19,7.5,0,0,2.64,1.04,0,0,0,0,2.72,11.9,1.16,0,1.26,320.9,0,16.36,0,0,0,0,0,3.99,0,0,65.29,0,0,4.15,0,6.86
 48-58,0,0.67,0,5.83,9.58,0,80,0,1.4,1.64,26.72,0.89,1.79,0.52,0,3.01,0,0,0,11.17,8.47,1.04,0,1.71,385.61,0,13.55,0,0,0,2.03,0,0,0.45,0,146.06,0,0.74,5.82,0,9.17
 60-70,0,0,0,0.83,22.59,0,337.64,0,0,11.63,57.86,0,2.38,1.55,4.32,8.36,1.09,0,0,16.05,62.15,1.1,0,2.79,654,1.33,25.95,0,0,1.08,0,0,0,0,0,169.72,0,1.56,13.43,0,20.7
 72-82,0,2.8,0,6.98,122.55,0,361.61,0,0,6.67,205.42,11.51,0,1.12,1.82,4.96,6.78,0.68,0,17.67,62.85,6.53,5.33,9.35,524.73,0.53,44.84,3.69,0,1.4,0,0,0,1.5,0,200.41,0,0.5,31.01,3.27,38.16
 84-94,0,0.7,1.01,3.2,159.51,0,323.92,0,0,4.25,147.66,9.27,4.33,0,2.69,13.7,5.94,0,1.37,15.12,81.09,3.55,1.48,3.76,394.01,0.74,35.77,1.27,0,1.68,0.57,0,0,0,0,118.5,0,2.9,29.63,0,46.51
 96-106,0,3.63,0,2.4,296.87,0,332.28,0,1,20.17,322.73,28.66,0,0.62,12.62,21.05,10.3,1.91,0,11.1,132.16,3.7,5.65,2.4,491.37,0.62,94.07,8.13,0,4.58,1.44,0,0.6,0,0,72.26,7.54,0,42.08,5.35,38.74
108-118,0,8.01,0,14.12,158.5,0,416.72,6.46,0,6.12,300.4,43.78,0,0,9.36,16.26,28.03,4.15,3.67,19.95,120,16.9,9.42,1.6,839.55,0.41,71,5.79,0,0,0.95,0,0.89,4.15,0,44.64,1.91,0,33.32,3.22,44.17
120,0,21.84,0,25.3,156.51,3.69,317.67,2.29,0,3.3,420.76,53.88,0,0,49.48,3.83,2.44,0,0,4.86,210.77,36.71,17.63,8.07,1041.08,28,95.96,1.47,0,17.22,6.67,0,1.12,0,0,51.17,0,6.5,61.86,0,9.13
