stage,epidermis,eye,fast_muscle,iridophores,mesenchyme,mucous,muscle,neural,pericytes,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,3.27,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.76,0,0,0,0
 14-21,0.86,0.83,0,0,0,0,0.86,0,0,0,0,0
 36-46,0,0,0,0,0.63,0,0,5,0,0,0,0
 48-58,0,0,0,0,0,0.53,0,0.72,0,0.87,0,1.79
 72-82,0,0,0,0,0,0,0,1.34,0,0,0,0
 84-94,0,0.67,0.98,0.83,0,0,0,0,0,0,1.49,0
 96-106,0,0,0,0.59,2.29,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.76,0,0,0
120,0,0,0,0,9.6,0,0,2.26,0,0,0,0
