stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,82.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,0,10.67,0,0,0,15.54,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,54.31,0,0,0,33.83,0,3.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.66,0,4.44,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.55,3.27,0,0,10.95,0,0,0,29.53,0,0,0,0,0,0,0
 14-21,0,0,1.38,0,13.16,8.9,0,2.07,0,0,0,1.61,0.85,0,0,0,0,0,0,0,0,3.1,0,0,1.78,25.24,0,0,2.36,0,0,0,1.01,0,2.68,25.78,0,0,0,0,0
 24-34,0,0,0.97,0,1.5,0,0,0.62,0,0,0,2.28,0,0,0,0,0,0,0,0,0,1.02,0,0,0,177.41,0,0,0.65,0,0,7.06,0,1.75,0,48.91,0,0,4.39,0,0
 36-46,0,0,0,0,0,0,0,36.22,0,1.24,0,1.66,0,0.76,0,0,0,0,0,0,4.8,10.45,0.95,0,0,635.03,0.65,0.92,0,0,0,13.82,0,2.26,0,98.02,0,0,0,0,0
 48-58,0,0,0,0,1.36,0,0,226.12,0,0,0.42,13.4,0,0.49,0,0,0,0,0,0.43,1.62,24.01,0,0,0.61,1183.94,0,3.25,0.69,0,0,4.44,0,0.96,0,124.96,0,0,1.59,0,0.83
 60-70,0,0,0,0,9.77,0,0,614.11,0.63,0,0,19.13,2.64,0,0.9,0,0,8.6,0,0,7.12,24.53,0,0,0.67,2176.5,0,1.61,0.73,0,0,8.83,0,6.38,0,157.98,0,0,0,1.46,13.78
 72-82,0,0,0.93,0,18.71,1.63,0,696.78,0,1.14,7.18,33.87,0.55,0,1.75,2.76,0,0,0,0,11.68,34.82,1.46,1.86,0.56,2658.37,0,2.78,0.54,0,0,4.38,0,11.88,0,124.76,2.26,0,8.84,0.91,3.67
 84-94,0,0,0.73,2,5.38,7.58,0,420.9,0.56,0.63,4.82,32.81,8.03,0,0,0.92,0,7.69,2.71,0,9.74,29.51,0,0,1.11,1727.68,9.86,0,0.79,0,0,14.23,0,2.41,0,98.11,4.08,1.03,1.18,0,0
 96-106,0,0,1.07,0,9.04,7.73,0,266.97,0,0,0,28.97,4.27,0,0,1.93,0,0,0,0,1.07,12.89,3.84,2.57,0,1329.5,0,0.66,1.25,0,0,9.54,0,1.16,0,13.55,2.29,0,0.68,3.01,5.3
108-118,0,0,0,0,8.08,6.77,3.77,178.59,0,0.81,0,18.84,1.74,0,2.87,1.5,0.75,3.8,0,5.96,7.67,15.73,2.46,4.08,0,1500.03,0.52,3.52,0,0,2.27,10.42,0,1.88,0,27.89,3.02,1.26,2.66,5.2,6.2
120,0,0,0,0,9.69,5.84,28.33,120.86,0,0,0,38.9,2.59,0,0,0,0,0,0,0,1.6,21.65,0,0,3.79,2174.02,4.99,4.24,0,0,0,0,0,2.46,0,62.28,0,0,0,1.93,0
