stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.67,319.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.21,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.03,0,0,0,17.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.98,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.46,0,0,0,19.34,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,34.36,12.52,0,60.24,0,1,0,0,0,0,0,0,0,0,0,5.34,21.75,0,0,19.14,286.69,0,0,0,0,0,36.13,0,0,1.91,10.22,18.45,0,0,8.99,0,1.92
 24-34,0,0,0.77,169.21,6,0,111.6,0,15.23,0,16.85,0,9.15,3.47,0,1.25,3.97,2.18,3.07,188.2,0,0,86.48,1461.89,6.32,3.63,6.84,1,0,340.06,0,2.24,0,0.68,88.51,0,0,116.43,0,6.74
 36-46,0,0,0,102.04,0,0,281.34,1.33,32.77,1.38,133.84,3.3,8.64,2.55,0,0.74,0,4.06,2.45,254.74,1.91,3.74,53.84,1283.71,1.15,1.97,1.47,0,2.1,444.55,0,0,5.4,0,238.15,0,0.85,124.99,0,10.71
 48-58,0,0,0,84.92,0,0,990.41,0,19.63,6.18,198.41,1.71,9.96,3.23,0,1.04,0,0,2.59,401.92,0,10.49,28.74,1327.16,2.57,3.02,0.4,0,0.73,250.78,0,0.88,0,0,129.57,0,0.51,104.47,0,5.67
 60-70,0,0,0,69.68,10.5,0,3409.03,0,38.9,3.94,290.22,15.82,41.23,6.52,0.62,1.77,0.65,1.33,0,483.99,3.58,14.35,25.4,1716.42,5.52,12.75,7.13,0,10.34,168.65,0,0.84,0,0,126.39,2.3,8.38,69.16,0.73,4.42
 72-82,0,0,0,31.13,0.57,0,3704.84,0,8.15,4.92,584.88,17.07,13.31,22.79,2.03,5.74,1.84,1.76,0,565.78,0,29.29,34.58,2007.3,0.57,5.23,13.13,0,5.32,133.39,0,0,0,0,32.25,5.86,19.46,167.26,8.72,14.78
 84-94,0,0,0,60.76,4.53,0,2308.69,0.67,15.49,7.93,388.5,27.24,10.67,32.22,7.69,36.37,3.65,0,4.15,408.81,1.46,19.26,16.46,1003.67,1.7,7.63,0.61,0,3.83,280.38,1.4,1.26,0,0,43.14,1.32,11.59,116.1,7.03,7.78
 96-106,0,0,0,48.92,2.17,0,2143.25,3.1,2.91,0,476.81,11,5.06,29.61,6.43,5.85,5.28,7.43,0.69,407.95,7.37,16.29,5.61,842.23,0,3.21,6.56,0,4.98,224.77,0,4.35,0,0,6.12,2.03,3.68,101.27,14.35,4.52
108-118,0,0,0,51.27,1.94,0.85,1960.88,0,7.57,4.39,308.09,9.32,1.29,23.42,2.25,5.2,3.9,0,1.68,373,0,17.1,5.84,774.97,0.89,3.53,5.72,0,9.99,70.51,0,0,0,0,11.82,0.6,8.12,88.2,19.22,7.08
120,0,0,0,64.24,3.12,1.89,1862.04,1.04,13.75,2.81,527.38,1.21,1.15,49.8,0,1.4,1.88,0,0,334.99,2.93,5.9,29.36,944.13,4.03,11.19,0,10.96,22.46,98.02,0,0,0,0,5.56,0,0,83.74,2.27,8.94
